50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,da4bba8b-5df5-4e8b-8f20-15591e4a69fa,1,,,,3878610,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 57}, {'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 40426, 'name': 'Guglielmo Stendardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 29}, {'player': {'id': 386607, 'name': 'Gianpaolo Bellini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6952, 'name': 'Alberto Grassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 88}, {'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 12759, 'name': 'Maximiliano Nicol Moralez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 49439, 'name': 'Germán Gustavo Denis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Atalanta,228,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4f41d862-8b38-4d5f-8285-33dc4f66af51,2,,,,3878610,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7695, 'name': 'Samuel Souprayen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 69}, {'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 7020, 'name': 'Jacopo Sala'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 32119, 'name': 'Leandro Greco'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 26442, 'name': 'Boško Janković'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 386651, 'name': 'Juan Ignacio Gómez Taleb'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8d2e1971-8d05-4399-83d9-a9d7c29024d5,3,,,,3878610,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,['b037f432-ce19-4fbe-8260-762e95559823'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b037f432-ce19-4fbe-8260-762e95559823,4,,,,3878610,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,['8d2e1971-8d05-4399-83d9-a9d7c29024d5'],0,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9c08fbf0-d4e3-4365-a055-f7f684481fb9,1543,,,,3878610,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Hellas Verona,226,['db5b81ae-ad4f-4b7e-ac58-a6e1bab1611c'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,db5b81ae-ad4f-4b7e-ac58-a6e1bab1611c,1544,,,,3878610,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Hellas Verona,226,['9c08fbf0-d4e3-4365-a055-f7f684481fb9'],0,,,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.591402,,,,,,,,,,,,,2039924c-507f-4d6f-a84b-107c7aba6594,5,,,"[61.0, 40.1]",3878610,0,,,,,2.8602002,,Right Foot,,,,"[48.2, 43.8]",,Ground Pass,,13.3240385,,,,,Federico Viviani,7770.0,,,,,Kick Off,1,From Kick Off,Luca Toni,20252.0,Center Forward,2,Hellas Verona,226,['05decb31-3d8e-4ca1-a5a8-83e48e7a0a2d'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.904,Pass,
,,,,,,,,,,,,,,,,,1.895076,,,,,,,,,,,,,f396885c-9c0e-490d-a6f2-97c666e0a088,8,,,"[47.1, 46.7]",3878610,0,,,,,1.8502102,,Right Foot,,,,"[40.3, 70.4]",,Ground Pass,,24.656237,,,,,Eros Pisano,11342.0,,,,,,1,From Kick Off,Federico Viviani,7770.0,Center Defensive Midfield,2,Hellas Verona,226,['022e06e2-c721-4a26-9b12-6f3443c6b460'],2,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:02.557,Pass,
,,,,,,,,,,,,,,,,,3.318558,,,,,,,,,,,,,ece3797a-4f47-494a-9ae3-d9ea89993bee,11,,,"[42.6, 68.8]",3878610,0,,,,,-0.5725544,,Right Foot,,,,"[92.4, 36.7]",,High Pass,,59.24905,,,,,Juan Ignacio Gómez Taleb,386651.0,,,,,,1,From Kick Off,Eros Pisano,11342.0,Right Back,2,Hellas Verona,226,['a3f7f3fb-f74e-470a-a57d-ffe4a3cab802'],5,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:05.340,Pass,
,,,,,,,,,,,,,,,,,2.406265,,,,,,,,,,,,,0436a3a9-abae-4683-a5a6-cb440958cf3f,14,,,"[94.0, 33.2]",3878610,0,,,,,-2.5331848,,Left Foot,,,,"[79.5, 23.1]",,High Pass,,17.67088,,,,,Samuel Souprayen,7695.0,,,,,,1,From Kick Off,Juan Ignacio Gómez Taleb,386651.0,Left Wing,2,Hellas Verona,226,['b8a49682-e9eb-45a9-936e-858b7f547707'],10,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:10.282,Pass,
