50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,123c8d37-370e-4477-8552-19dad840d3c3,1,,,,3879546,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 40250, 'name': 'Marco Zambelli'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 7160, 'name': 'Lorenzo Tonelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 8664, 'name': 'Andrea Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 386515, 'name': 'Ronaldo Pompeu da Silva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 386516, 'name': 'Alessandro Piu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Empoli,290,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,68eadcba-e39c-450d-b666-a0c889e921a2,2,,,,3879546,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 57}, {'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 7002, 'name': 'Rafael Tolói'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 38237, 'name': 'Gabriel Alejandro Paletta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 29}, {'player': {'id': 11722, 'name': 'Boukary Dramé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 93}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6952, 'name': 'Alberto Grassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 88}, {'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 12759, 'name': 'Maximiliano Nicol Moralez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 36770, 'name': 'Mauricio Ricardo Pinilla Ferreira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 51}]}",Atalanta,228,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a04d3614-acbf-4321-a231-6ebfcc200d70,3,,,,3879546,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,['9cc0aa09-4b4b-4459-9bf1-f8c5d305f9c8'],0,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9cc0aa09-4b4b-4459-9bf1-f8c5d305f9c8,4,,,,3879546,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,['a04d3614-acbf-4321-a231-6ebfcc200d70'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,85681c35-faf0-4dcf-89b2-cf05b7229253,2092,,,,3879546,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Atalanta,228,['10914fe7-16d3-416b-a31a-09f3125e955a'],0,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,10914fe7-16d3-416b-a31a-09f3125e955a,2093,,,,3879546,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Atalanta,228,['85681c35-faf0-4dcf-89b2-cf05b7229253'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.103305,,,,,,,,,,,,,5681a885-327b-434f-b868-88aa2aa04c45,5,,,"[60.0, 40.0]",3879546,0,,,,-2.8023,,Right Foot,,,,"[43.0, 34.0]",,Ground Pass,,18.027756,,,Andrea Costa,8664.0,,,,,Kick Off,1,From Kick Off,Alessandro Piu,386516.0,Right Center Forward,2,Empoli,290,['7e3d4afa-88f4-4d3c-961b-c4ed9aec879f'],0,,,,,,,,,,,,,,,,Empoli,290,00:00:00.675,Pass,
,,,,,,,,,,,,,,,,,1.359177,,,,,,,,,,,,,e063f782-5106-4849-94a6-05b24d056ec1,7,,,"[43.0, 32.3]",3879546,0,,,,1.418147,,Right Foot,,,,"[43.8, 37.5]",,Ground Pass,,5.2611785,,,Lorenzo Tonelli,7160.0,,,,,,1,From Kick Off,Andrea Costa,8664.0,Left Center Back,2,Empoli,290,['dba012e4-8635-4c27-85ef-e67f83ac0183'],1,,,,,,,,,,,,,,,,Empoli,290,00:00:01.778,Pass,
,,,,,,,,,,,,,,,,,0.15534,,,,,,,,,,,,,a721f15b-31ef-4db0-a6ee-aa4c30dba6cf,10,,,"[42.2, 36.7]",3879546,0,,,,0.7665325,,Left Foot,,,,"[44.9, 39.3]",,Low Pass,,3.748333,Incomplete,,,,,,,,,1,From Kick Off,Lorenzo Tonelli,7160.0,Right Center Back,2,Empoli,290,"['9dd71144-5ad6-49fb-a250-d65e33e94a30', 'fe5fabf9-1787-41bc-b174-4c254ea7e021']",3,,,,,,,,,,,,,,,,Empoli,290,00:00:03.138,Pass,True
,,,,,,,,,,,,,,,,,1.636087,,,,,,,,,,,,,9c833a4b-03ac-414c-84ee-ace35af94098,13,,,"[22.8, 26.7]",3879546,0,,,,-0.875564,,Left Foot,,,,"[39.4, 6.8]",,Ground Pass,,25.914667,,,Mário Rui Silva Duarte,7151.0,,,,,Recovery,1,From Kick Off,Lorenzo Tonelli,7160.0,Right Center Back,2,Empoli,290,['b899941c-b14d-4649-986b-014ea658731f'],6,,,,,,,,,,,,,,,,Empoli,290,00:00:06.760,Pass,
,,,,,,,,,,,,,,,,,0.867414,,,,,,,,,,,,,002f4654-0030-4b7a-bd22-8ee472d617cf,20,,,"[44.9, 8.6]",3879546,0,,,,2.5689263,,Left Foot,,,,"[37.3, 13.5]",,Ground Pass,,9.042677,,,Ronaldo Pompeu da Silva,386515.0,,,,,,1,From Kick Off,Mário Rui Silva Duarte,7151.0,Left Back,2,Empoli,290,['fe836eed-c2a4-4e51-a0cd-926fc9983af3'],11,,,,,,,,,,,,,,,,Empoli,290,00:00:11.700,Pass,
,,,,,,,,,,,,,,,,,0.802924,,,,,,,,,,,,,d742fa20-13d9-4b0a-8709-9c44ef4c48ad,23,,,"[37.9, 13.5]",3879546,0,,,,-2.6325219,,Right Foot,,,,"[29.3, 8.7]",,Ground Pass,,9.848858,,,Lorenzo Tonelli,7160.0,,,,,,1,From Kick Off,Ronaldo Pompeu da Silva,386515.0,Center Defensive Midfield,2,Empoli,290,['de40ac44-ad1d-42d4-b172-66ee6c845f56'],12,,,,,,,,,,,,,,,,Empoli,290,00:00:12.777,Pass,
,,,,,,,,,,,,,,,,,1.049547,,,,,,,,,,,,,8c73e7b9-5e12-42c2-84d2-2ad229045a65,26,,,"[30.0, 10.7]",3879546,0,,,,0.77968395,,Right Foot,,,,"[38.8, 19.4]",,Ground Pass,,12.374571,,,Ronaldo Pompeu da Silva,386515.0,,,,,,1,From Kick Off,Lorenzo Tonelli,7160.0,Right Center Back,2,Empoli,290,['773a94b2-4a7a-4619-8bcf-6e794a376214'],14,,,,,,,,,,,,,,,,Empoli,290,00:00:14.601,Pass,
,,,,,,,,,,,,,,,,,1.017513,,,,,,,,,,,,,16ca9ea2-ba52-4a83-acff-094ff9e57e81,29,,,"[38.8, 19.4]",3879546,0,,,,2.428142,,Right Foot,,,,"[26.9, 29.7]",,Ground Pass,,15.738488,,,Andrea Costa,8664.0,,,,,,1,From Kick Off,Ronaldo Pompeu da Silva,386515.0,Center Defensive Midfield,2,Empoli,290,['fd38ca34-f3e6-4825-bd36-314c3813d1d6'],15,,,,,,,,,,,,,,,,Empoli,290,00:00:15.730,Pass,
,,,,,,,,,,,,,,,,,1.472786,,,,,,,,,,,,,4bf8477f-4c9f-4a4b-a0ed-104112ed5479,32,,,"[26.7, 45.4]",3879546,0,,,,-1.5182133,,Right Foot,,,,"[28.0, 20.7]",,Ground Pass,,24.734186,,,Lorenzo Tonelli,7160.0,,,,,,1,From Kick Off,Andrea Costa,8664.0,Left Center Back,2,Empoli,290,['25f3b0c9-d848-4e59-a18d-85db131a651b'],19,,,,,,,,,,,,,,,,Empoli,290,00:00:19.779,Pass,
,,,,,,,,,,,,,,,,,0.881277,,,,,,,,,,,,,70bd2ab2-6f2d-45f1-a5cf-36a38c0f029e,36,,,"[44.5, 21.0]",3879546,0,,,,-0.4279485,,Right Foot,,,,"[61.6, 13.2]",,Ground Pass,,18.794947,,,Alessandro Piu,386516.0,,,,,,1,From Kick Off,Lorenzo Tonelli,7160.0,Right Center Back,2,Empoli,290,"['162eaeec-a0f9-4f0b-9be3-f360d1aa7775', 'a169ce42-726b-4df3-858e-3f0fc8b507ec']",25,,,,,,,,,,,,,,,,Empoli,290,00:00:25.215,Pass,True
,,,,,,,,,,,,,,,,,1.105555,,,,,,,,,,,,,cd228f48-341d-4c84-826a-0a060c7d3fea,41,,,"[57.2, 13.2]",3879546,0,,,,-2.2981951,,Right Foot,,,,"[49.9, 5.0]",,Ground Pass,,10.978616,,,Mário Rui Silva Duarte,7151.0,,,,,,1,From Kick Off,Alessandro Piu,386516.0,Right Center Forward,2,Empoli,290,"['0270a3a2-40cb-4046-a51a-c0ca5767389b', '52c4e7ee-f387-4e07-8283-b5bfc144042d']",27,,,,,,,,,,,,,,,,Empoli,290,00:00:27.021,Pass,True
,,,,,,,,,,,,,,,,,1.156936,,,,,,,,,,,,,57864305-28ca-4f7f-a9b1-90c54230b65d,45,,,"[52.9, 4.4]",3879546,0,,,,0.81077343,,Right Foot,,,,"[62.5, 14.5]",,Ground Pass,,13.934489,,,Riccardo Saponara,7150.0,,,,,,1,From Kick Off,Mário Rui Silva Duarte,7151.0,Left Back,2,Empoli,290,"['0a9ea981-1606-46e5-92e5-8b89d22e36d3', '805cc305-3fd4-4b95-894c-c57c37b63fa3']",31,,,,,,,,,,,,,,,,Empoli,290,00:00:31.078,Pass,True
,,,,,,,,,,,,,,,,,0.606436,,,,,,,,,,,,,3cad0c5c-e197-4cd6-8f90-670ac863e5ce,49,,,"[62.9, 7.4]",3879546,0,,,,-0.8791397,,Right Foot,,,,"[68.2, 1.0]",,Low Pass,,8.309633,,,Daniele Croce,40251.0,,,,,,1,From Kick Off,Riccardo Saponara,7150.0,Center Attacking Midfield,2,Empoli,290,['914dd450-5568-489d-a356-aff0e4b71ccc'],33,,,,,,,,,,,,,,,,Empoli,290,00:00:33.734,Pass,
,,,,,,,,,,,,,,,,,2.152189,,,,,,,,,,,,,95e9a8c2-003e-4861-ba76-af8bbeb9d926,59,,,"[73.7, 6.8]",3879546,0,True,,,1.8622531,886544be-808a-4908-9b0d-22b2bbf5ef6c,Left Foot,,,,"[71.0, 15.8]",,Ground Pass,,9.3962755,,,Ronaldo Pompeu da Silva,386515.0,True,,,,Free Kick,1,From Free Kick,Mário Rui Silva Duarte,7151.0,Left Back,3,Empoli,290,['8f7757e3-e7a9-440a-92e2-37422fba3e17'],48,,,,,,,,,,,,,,,,Empoli,290,00:00:48.345,Pass,
,,,,,,,,,,,,,,,,,0.605857,,,,,,,,,,,,,4ac30e71-5f40-437d-a099-cd43b7f7738c,66,,,"[91.0, 4.4]",3879546,0,,,,1.9347752,,Right Foot,,,,"[87.8, 12.8]",,Ground Pass,,8.988882,,,Riccardo Saponara,7150.0,,,,,Recovery,1,From Free Kick,Daniele Croce,40251.0,Left Center Midfield,3,Empoli,290,"['38221418-d75c-43ba-8a92-53ca43fa80f1', '8dbd3b70-726e-46ce-bcda-4a9f28dc6b28']",55,,,,,,,,,,,,,,,,Empoli,290,00:00:55.691,Pass,True
,,,,,,,,,,,,,,,,,0.419683,,,,,,,,,,,,,aff24491-bf74-485b-a536-d0dc1e41bfb8,70,,,"[97.4, 15.5]",3879546,0,,,,1.2490457,,Left Foot,,,,"[99.0, 20.3]",,Ground Pass,,5.059644,Incomplete,,Massimo Maccarone,40252.0,,,,,,1,From Free Kick,Riccardo Saponara,7150.0,Center Attacking Midfield,3,Empoli,290,"['1c28b7bd-6563-4517-8d8a-1996077fce0d', 'b5fb47b4-b706-41db-b638-d94e23723a43', 'bdec8548-d9a8-4c75-aad0-74571bee0d57']",58,,,,,,,,,,,,,,,,Empoli,290,00:00:58.203,Pass,True
