50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9ffdcc4f-5105-4337-a46e-7220c7ea403a,1,,,,3879550,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6999, 'name': 'Davide Santon'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 44}, {'player': {'id': 11183, 'name': 'Alex Nicolao Telles'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 83}, {'player': {'id': 32807, 'name': 'Fredy Alejandro Guarín Vásquez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,81dceb4f-eb58-494f-8244-555f726c6453,2,,,,3879550,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 5663, 'name': 'Jakub Błaszczykowski'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 28}, {'player': {'id': 6305, 'name': 'Milan Badelj'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7139, 'name': 'Josip Iličić'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 72}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 7033, 'name': 'Nikola Kalinić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Fiorentina,239,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1f297f97-58d6-43f1-b652-6f28c83de953,3,,,,3879550,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['342bc997-c45c-4b3f-9f05-723837b85236'],0,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,342bc997-c45c-4b3f-9f05-723837b85236,4,,,,3879550,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['1f297f97-58d6-43f1-b652-6f28c83de953'],0,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b0c523fa-12f0-4868-a814-5b746f673fc6,1846,,,,3879550,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Fiorentina,239,['8ebb737e-cd31-4d09-a558-b3b81d4d180d'],0,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8ebb737e-cd31-4d09-a558-b3b81d4d180d,1847,,,,3879550,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Fiorentina,239,['b0c523fa-12f0-4868-a814-5b746f673fc6'],0,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.654012,,,,,,,,,,,,,,,e9fecb90-abbb-405e-acb5-d5de2f59c06d,5,,,"[61.0, 40.1]",3879550,0,,,,2.789974,,Right Foot,,,"[44.1, 46.3]",,Ground Pass,,18.001389,,,,Felipe Melo de Carvalho,25430.0,,,,,Kick Off,1,From Kick Off,Mauro Emanuel Icardi Rivero,6987.0,Left Center Forward,2,Inter Milan,238,['d1d84e1b-a974-4b14-8312-6a2fe43a93cc'],0,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.182,Pass,
,,,,,,,,,,,,,,,,,1.119501,,,,,,,,,,,,,,,e9a30c2e-c887-4ef8-bae9-10cb3b1369a2,8,,,"[43.1, 50.0]",3879550,0,,,,1.498459,,Right Foot,,,"[45.1, 77.6]",,Ground Pass,,27.672369,,,,Ivan Perišić,5474.0,,,,,,1,From Kick Off,Felipe Melo de Carvalho,25430.0,Center Defensive Midfield,2,Inter Milan,238,['c245f546-9dcf-482a-bd12-3072940f09e6'],2,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:02.954,Pass,
,,,,,,,,,,,,,,,,,1.350891,,,,,,,,,,,,,,,1ab0a5ce-f92a-4218-91e3-404c6dc7e704,11,,,"[43.7, 79.2]",3879550,0,,,,-2.661069,,Right Foot,,,"[34.3, 74.3]",,Ground Pass,,10.6004715,,,,Davide Santon,6999.0,,,,,,1,From Kick Off,Ivan Perišić,5474.0,Right Wing Back,2,Inter Milan,238,['48923c82-8d41-45f2-88ec-5fb36eef4b0e'],5,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:05.951,Pass,
,,,,,,,,,,,,,,,,,1.912378,,,,,,,,,,,,,,,b479637e-e6e6-46c7-97f6-0e24304c5339,15,,,"[34.1, 76.4]",3879550,0,,,,-0.35935038,,Right Foot,,,"[71.9, 62.2]",,High Pass,,40.379204,,Incomplete,,Rodrigo Sebastián Palacio,7165.0,,,,,,1,From Kick Off,Davide Santon,6999.0,Right Center Back,2,Inter Milan,238,"['4fde8089-a6c4-47db-893a-0319aec009f0', 'a65a628a-ead2-4e1b-8dd3-0a995a5aad0e', 'bcf20fb7-a664-4ada-b66e-8922ebb4e33d']",8,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:08.319,Pass,True
