50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,9fd79e17-a776-44ea-858b-ace7e3b75f5f,1,,,3879557,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 7041, 'name': 'Nicola Rigoni'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 56}, {'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 11643, 'name': 'Riccardo Meggiorini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 69}, {'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 43}]}",Chievo,231,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,dd3a9953-1b6a-487d-b507-22c98177d0de,2,,,3879557,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,,0,,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 9887, 'name': 'Rafael de Andrade Bittencourt Pinheiro'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 18}, {'player': {'id': 7966, 'name': 'Filip Helander'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7020, 'name': 'Jacopo Sala'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 7695, 'name': 'Samuel Souprayen'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 69}, {'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5512, 'name': 'Emil Hallfreðsson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 32119, 'name': 'Leandro Greco'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 26442, 'name': 'Boško Janković'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 386651, 'name': 'Juan Ignacio Gómez Taleb'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,cdd5a2ba-a4fa-4fee-b036-f799acf239ff,3,,,3879557,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,['f5bf71e8-dd89-4877-95aa-14c43b95fc3c'],0,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,f5bf71e8-dd89-4877-95aa-14c43b95fc3c,4,,,3879557,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,['cdd5a2ba-a4fa-4fee-b036-f799acf239ff'],0,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,a49cd6b2-de78-483f-975f-29783be11b2f,1657,,,3879557,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Hellas Verona,226,['80e1b7ce-0671-4d0c-bab4-840a2e815f7d'],0,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,80e1b7ce-0671-4d0c-bab4-840a2e815f7d,1658,,,3879557,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Hellas Verona,226,['a49cd6b2-de78-483f-975f-29783be11b2f'],0,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.155326,,,,,,,,,,0b868203-42ab-46d8-b1f3-006f9b4d0f2b,5,,"[60.0, 40.0]",3879557,0,,,,,-1.3258177,,Right Foot,,"[60.8, 36.8]",,Ground Pass,,3.2984846,,,,,Riccardo Meggiorini,11643.0,,,,,Kick Off,1,From Kick Off,Alberto Paloschi,6950.0,Left Center Forward,2,Chievo,231,['042b33d8-2e51-440c-9b63-35e57b12a745'],0,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.919,Pass,
,,,,,,,,,,,,,,,,0.739251,,,,,,,,,,4fd9c8f6-bcd9-407c-84e4-ddb545e3cef0,8,,"[59.1, 37.1]",3879557,0,,,,,2.3702781,,Left Foot,,"[55.5, 40.6]",,Ground Pass,,5.020956,,,,,Valter Birsa,7045.0,,,,,,1,From Kick Off,Riccardo Meggiorini,11643.0,Right Center Forward,2,Chievo,231,['910db731-56a7-4c77-99fc-3943575bcafd'],1,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:01.234,Pass,
,,,,,,,,,,,,,,,,0.621401,,,,,,,,,,e066eed8-1c63-41ac-8cd7-a5906926b2de,12,,"[63.4, 36.8]",3879557,0,,,,,0.59168583,,Left Foot,,"[75.9, 45.2]",,Ground Pass,,15.060212,,,Incomplete,,Alberto Paloschi,6950.0,,,,,,1,From Kick Off,Valter Birsa,7045.0,Center Attacking Midfield,2,Chievo,231,"['3d4d72a1-42b0-4cf9-89fa-dd50acf8b5f9', 'a8742626-8421-4536-8c12-05ed72bec945']",4,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:04.037,Pass,
,,,,,,,,,,,,,,,,1.502326,,,,,,,,,,7afe6e89-bc1a-4146-9c82-a8fa8501e9b2,28,,"[20.8, 61.6]",3879557,0,,,,,1.731559,,Right Foot,,"[20.2, 65.3]",,Ground Pass,,3.748333,,,,,Jacopo Sala,7020.0,,,,,,1,Regular Play,Vangelis Moras,31488.0,Center Back,3,Hellas Verona,226,"['60b864bd-9458-4b5b-8703-9957bc0d0408', '7a70d25e-280a-441d-aa49-1b8136fa8146']",9,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:09.705,Pass,True
