50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ba78f94b-0694-464e-a504-2df0f2149a92,1,,,3879566,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 8191, 'name': 'Ali Adnan Kadhim Al Tameemi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 53}, {'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 27044, 'name': 'Marco Antônio De Mattos Filho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 19846, 'name': 'Antonio Di Natale'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 77}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d3fa3447-d2eb-4cba-862e-101a3f93f317,2,,,3879566,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 38312, 'name': 'Eugenio Lamanna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 7176, 'name': 'Sebastian De Maio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7467, 'name': 'Nicolás Andrés Burdisso'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 9940, 'name': 'Armando Izzo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4369, 'name': 'Issa Cissokho'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 90}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 93}, {'player': {'id': 7475, 'name': 'Tomás Eduardo Rincón Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 5554, 'name': 'Blerim Džemaili'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 24683, 'name': 'Diego Ángel Capel Trinidad'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3556, 'name': 'Serge Gakpé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1dd79829-63a6-40ea-9d7e-ff2a5119903f,3,,,3879566,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['8f1fbd62-8aff-474d-ba8c-fa214ba26136'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8f1fbd62-8aff-474d-ba8c-fa214ba26136,4,,,3879566,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['1dd79829-63a6-40ea-9d7e-ff2a5119903f'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,484e57a0-0812-4f58-85b3-a00f8236a9cd,1823,,,3879566,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Udinese,230,['d5b033cc-6ad4-445e-90ae-b067532abc5a'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d5b033cc-6ad4-445e-90ae-b067532abc5a,1824,,,3879566,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Udinese,230,['484e57a0-0812-4f58-85b3-a00f8236a9cd'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.338831,,,,,,,,,,,,,,28aaa36a-ae31-4e71-8683-cb33624c06a4,5,,"[61.0, 40.1]",3879566,0,,,,,-2.6779451,,Left Foot,,"[59.8, 39.5]",,Ground Pass,,1.3416408,,,,,Diego Perotti,7456.0,,,,,Kick Off,1,From Kick Off,Serge Gakpé,3556.0,Center Forward,2,Genoa,233,['a78e65ad-3ede-4981-a9d9-ad014e244764'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.287,Pass,
,,,,,,,,,,,,,,,1.172853,,,,,,,,,,,,,,88676f0e-acba-44f1-8ba1-87295ed18e51,8,,"[58.0, 39.6]",3879566,0,,,,,2.6441038,,Right Foot,,"[42.9, 47.8]",,Ground Pass,,17.18284,,,,,Nicolás Andrés Burdisso,7467.0,,,,,,1,From Kick Off,Diego Perotti,7456.0,Left Wing,2,Genoa,233,['b2a81f25-ebf7-4924-9fc1-53689729fd06'],1,,,,,,,,,,,,,,,,,Genoa,233,00:00:01.857,Pass,
,,,,,,,,,,,,,,,1.486091,,,,,,,,,,,,,,2795f694-e998-4076-b832-7b5ad7a767ea,11,,"[42.9, 47.8]",3879566,0,,,,,1.176258,,Right Foot,,"[54.6, 75.9]",,Ground Pass,,30.438463,,,,,Issa Cissokho,4369.0,,,,,,1,From Kick Off,Nicolás Andrés Burdisso,7467.0,Center Back,2,Genoa,233,['bea3cf00-963d-4e48-8dc2-75ea6091da4b'],4,,,,,,,,,,,,,,,,,Genoa,233,00:00:04.209,Pass,
,,,,,,,,,,,,,,,0.89283,,,,,,,,,,,,,,a4084d5b-26ac-43b0-acdd-8a1dbc4a61dc,14,,"[56.4, 72.3]",3879566,0,,,,,-0.050209023,,Right Foot,,"[76.3, 71.3]",,Low Pass,,19.92511,,,Incomplete,,Diego Ángel Capel Trinidad,24683.0,,,,,,1,From Kick Off,Issa Cissokho,4369.0,Right Wing Back,2,Genoa,233,"['2e541918-9bec-4c59-ac7c-cfa83c1a6ba9', 'f01aea6b-c9f4-43a1-b4f6-c89cb8a10e18']",7,,,,,,,,,,,,,,,,,Genoa,233,00:00:07.785,Pass,
