50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cbf6d440-c415-4b42-8ec9-c4b7ac8b4d54,1,,,,3879569,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7704, 'name': 'Alex Ferrari'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 30745, 'name': 'Daniele Gastaldello'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 11729, 'name': 'Luca Rizzo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 8851, 'name': 'Saphir Sliti Taïder'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 45591, 'name': 'Franco Brienza'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 34565, 'name': 'Anthony Mounier'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 8103, 'name': 'Mattia Destro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2b39b4da-9952-40d1-885c-46671d66c2a0,2,,,,3879569,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 12}, {'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 7}, {'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bb897d76-232f-40a1-8914-ab5f49f05ea6,3,,,,3879569,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['54027c33-780c-44ab-8cbc-77873f3ebbc3'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,54027c33-780c-44ab-8cbc-77873f3ebbc3,4,,,,3879569,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['bb897d76-232f-40a1-8914-ab5f49f05ea6'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1eca5058-67d0-47ca-9343-363d2079d653,1908,,,,3879569,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,113,Palermo,2256,['22d42ff5-8ab2-4d68-8b8e-36f586e05abb'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,22d42ff5-8ab2-4d68-8b8e-36f586e05abb,1909,,,,3879569,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,113,Palermo,2256,['1eca5058-67d0-47ca-9343-363d2079d653'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.453766,,,,,,,,,,,,cf8cd30a-9b09-4851-bfc9-1279bf1222a2,5,,,"[61.0, 40.1]",3879569,0,,,,,2.0899425,,Right Foot,,,,"[60.2, 41.5]",,Ground Pass,,1.6124516,,,,Franco Brienza,45591.0,,,,,Kick Off,1,From Kick Off,Saphir Sliti Taïder,8851.0,Left Center Midfield,2,Bologna,240,['995758cd-d254-4546-86f2-14a1a1498772'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.290,Pass,
,,,,,,,,,,,,,,,,,1.840548,,,,,,,,,,,,8ce0a2de-c053-40dc-9888-6763f40b9b0f,7,,,"[60.0, 41.8]",3879569,0,,,,,3.113822,,Left Foot,,,,"[38.4, 42.4]",,Ground Pass,,21.608332,,,,Luca Rossettini,7142.0,,,,,,1,From Kick Off,Franco Brienza,45591.0,Right Attacking Midfield,2,Bologna,240,['5a2aa8cf-a9fb-4f62-ba3a-9edc75dd08b1'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.743,Pass,
,,,,,,,,,,,,,,,,,4.060182,,,,,,,,,,,,938349fc-4049-4584-88d6-2d1e9af3c89e,9,,,"[37.5, 41.3]",3879569,0,,True,,,-0.31917325,,Right Foot,,,,"[84.1, 25.9]",,High Pass,,49.078712,,Unknown,,Mattia Destro,8103.0,,,,,,1,From Kick Off,Luca Rossettini,7142.0,Left Center Back,2,Bologna,240,['5a973297-9ffe-4d6d-aa32-7e1efe9da0f8'],3,,,,,,,,,,,,,,,,,Bologna,240,00:00:03.424,Pass,
,,,,,,,,,,,,,,,,,4.117367,,,,,,,,,,,,83443bdb-58c6-4660-bea4-b6c9c77bd9fd,13,,,"[36.7, 52.7]",3879569,0,,True,,,-0.71269417,,Right Foot,,,,"[83.1, 12.6]",,High Pass,,61.326748,,Incomplete,,Achraf Lazaar,10032.0,,True,,,Free Kick,1,From Free Kick,Stefano Sorrentino,7055.0,Goalkeeper,3,Palermo,2256,"['26f2827b-aff4-4058-a7ce-eec9d443379f', '82bc85d9-24f9-4fd8-8dd5-e37adebe95b9']",18,,,,,,,,,,,,,,,,,Palermo,2256,00:00:18.343,Pass,
