50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ef7c65a9-40ec-4fe8-82a6-c370f0c93cd3,1,,,3879581,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7050, 'name': 'Fabrizio Cacciatore'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 386657, 'name': 'Giampiero Pinzi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 7041, 'name': 'Nicola Rigoni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40247, 'name': 'Simone Pepe'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 11643, 'name': 'Riccardo Meggiorini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 69}, {'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 43}]}",Chievo,231,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e1289d78-6227-4484-a596-374cadc3543f,2,,,3879581,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Napoli,227,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,67d90578-2c2f-441b-8241-57197f33fb6e,3,,,3879581,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,['1743c93f-4c69-4f7a-b817-3ad9e11f0319'],0,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1743c93f-4c69-4f7a-b817-3ad9e11f0319,4,,,3879581,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chievo,231,['67d90578-2c2f-441b-8241-57197f33fb6e'],0,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8144eda9-a508-4f1a-baed-a8201ec2bce2,2188,,,3879581,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Chievo,231,['3adb7931-29bb-46eb-b253-25f07d9fafd8'],0,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3adb7931-29bb-46eb-b253-25f07d9fafd8,2189,,,3879581,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Chievo,231,['8144eda9-a508-4f1a-baed-a8201ec2bce2'],0,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.018491,,,,,,,,,,,,,a7bd7ac1-968f-43bd-a6e8-8feef94014a8,5,,"[60.0, 40.0]",3879581,0,,,,3.133046,,Left Foot,,,,"[48.3, 40.1]",,Ground Pass,,11.700427,,,,,Simone Pepe,40247.0,,,,,Kick Off,1,From Kick Off,Riccardo Meggiorini,11643.0,Right Center Forward,2,Chievo,231,['6c4a83ab-655b-47a7-a42f-58734809bfac'],0,,,,,,,,,,,,,,,,,Chievo,231,00:00:00.459,Pass,
,,,,,,,,,,,,,,,,1.475137,,,,,,,,,,,,,981d2e51-5e71-499e-9f8d-f52637829f4f,8,,"[50.3, 45.2]",3879581,0,,,,1.1496762,,Right Foot,,,,"[63.2, 74.0]",,Ground Pass,,31.55709,,,,,Fabrizio Cacciatore,7050.0,,,,,,1,From Kick Off,Simone Pepe,40247.0,Center Attacking Midfield,2,Chievo,231,['85ffa502-478a-43f0-b59d-94f0ab092986'],2,,,,,,,,,,,,,,,,,Chievo,231,00:00:02.810,Pass,
,,,,,,,,,,,,,,,,1.448572,,,,,,,,,,,,,758a0aaa-1559-4c32-a707-70d822b0b8a3,10,,"[63.2, 74.0]",3879581,0,,,,-0.5062043,,Left Foot,,,,"[91.7, 58.2]",,High Pass,,32.586655,,,Incomplete,,Lucas Nahuel Castro,7049.0,,,,,,1,From Kick Off,Fabrizio Cacciatore,7050.0,Right Back,2,Chievo,231,"['50be308d-1fe9-4735-9517-c2df5f580871', '6d01857b-07c3-47db-932c-aa6070b8da73']",4,,,,,,,,,,,,,,,,,Chievo,231,00:00:04.285,Pass,
,,,,,,,,,,,,,,,,0.868897,,,,,,,,,,,,,50be308d-1fe9-4735-9517-c2df5f580871,12,,"[28.4, 21.9]",3879581,0,,,,-0.15160549,,Head,,,,"[35.6, 20.8]",,Low Pass,,7.283543,,,,,Jorge Luiz Frello Filho,7024.0,,,,,Recovery,1,Regular Play,Kalidou Koulibaly,5675.0,Left Center Back,3,Napoli,227,"['652be87e-93d7-4966-853c-273aeafaa436', '758a0aaa-1559-4c32-a707-70d822b0b8a3']",5,,,,,,,,,,,,,,,,,Napoli,227,00:00:05.733,Pass,
