50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dd4289c2-4475-423b-a642-e1a72651b4a1,1,,,,3879597,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7952, 'name': 'Simone Padoin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 25345, 'name': 'Anderson Hernanes de Carvalho Andrade'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6d7384f8-a3ae-4089-8e08-b0609157d0cf,2,,,,3879597,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 34881, 'name': 'Daniele Padelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40427, 'name': 'Cesare Bovo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6965, 'name': 'Bruno da Silva Peres'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 33}, {'player': {'id': 7479, 'name': 'Cristian Molinaro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 40430, 'name': 'Giuseppe Vives'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7474, 'name': 'Afriyie Acquah'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7465, 'name': 'Daniele Baselli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 8193, 'name': 'Maximiliano Gastón López'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 7011, 'name': 'Fabio Quagliarella'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 27}]}",Torino,241,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,79b11bf4-4f2c-48b3-b381-85197a396a10,3,,,,3879597,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['4c0c189b-7a1c-48e9-84da-72950d62c844'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4c0c189b-7a1c-48e9-84da-72950d62c844,4,,,,3879597,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['79b11bf4-4f2c-48b3-b381-85197a396a10'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,58edc910-4e04-4840-aa0c-6015783f24c8,1861,,,,3879597,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Torino,241,['e908bdb7-29e6-42a6-b41f-36272a24989b'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e908bdb7-29e6-42a6-b41f-36272a24989b,1862,,,,3879597,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Torino,241,['58edc910-4e04-4840-aa0c-6015783f24c8'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,1.135162,,,,,,,,,,,,,c3d001fa-26b1-4b86-970c-33d945b6011f,5,,,"[61.0, 40.1]",3879597,0,,,,,2.8593352,,Right Foot,,,,"[51.0, 43.0]",,Ground Pass,,10.412012,,,,Claudio Marchisio,8294.0,,,,Kick Off,1,From Kick Off,Álvaro Borja Morata Martín,3477.0,Right Center Forward,2,Juventus,224,['04883907-ab33-4c95-b574-2baf44d4a71b'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.772,Pass,
,,,,,,,,,,,,,,,,,,,,1.826235,,,,,,,,,,,,,04a1a633-fea5-4200-8144-81b4d6d93aaa,8,,,"[51.4, 42.6]",3879597,0,,,,,1.5707964,,Right Foot,,,,"[51.4, 75.6]",,Ground Pass,,33.0,,,,Simone Padoin,7952.0,,,,,1,From Kick Off,Claudio Marchisio,8294.0,Center Defensive Midfield,2,Juventus,224,['376aa629-cb47-42d4-aae3-af09de138761'],2,,,,,,,,,,,,,,,,,Juventus,224,00:00:02.493,Pass,
,,,,,,,,,,,,,,,,,,,,2.033796,,,,,,,,,,,,,7c6a4b48-c269-4531-b9b8-48af4e505bfe,11,,,"[50.3, 74.7]",3879597,0,,,,,-2.454689,,Right Foot,,,,"[36.4, 63.3]",,Ground Pass,,17.976929,,,,Andrea Barzagli,6943.0,,,,,1,From Kick Off,Simone Padoin,7952.0,Right Back,2,Juventus,224,['a37f4c78-07c8-4db9-af81-140896adc7b0'],5,,,,,,,,,,,,,,,,,Juventus,224,00:00:05.476,Pass,
,,,,,,,,,,,,,,,,,,,,2.009553,,,,,,,,,,,,,2ff0fecc-169d-466b-939d-e7fd02378e7a,14,,,"[36.0, 62.3]",3879597,0,,,,,-1.380808,,Right Foot,,,,"[42.5, 28.5]",,Ground Pass,,34.419327,,,,Leonardo Bonucci,7173.0,,,,,1,From Kick Off,Andrea Barzagli,6943.0,Right Center Back,2,Juventus,224,['0f031e0a-6bd7-4b4a-8b06-bcf7f9d32ea8'],8,,,,,,,,,,,,,,,,,Juventus,224,00:00:08.605,Pass,
