50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6e74b0c8-6b99-4b6c-b01d-c5bb87c2c3ea,1,,,,3879613,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,,0,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 7155, 'name': 'Vincent Laurini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7160, 'name': 'Lorenzo Tonelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 8664, 'name': 'Andrea Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 11602, 'name': 'Raffaele Maiello'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Empoli,290,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b576df7f-e9a2-487b-be06-2ce07fd2a028,2,,,,3879613,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5541, 'name': 'Stephan Lichtsteiner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ff2033d8-6446-4987-99e3-4ae6a012bab7,3,,,,3879613,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,['0a7d558e-4163-4dde-8dff-07446d297d3f'],0,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0a7d558e-4163-4dde-8dff-07446d297d3f,4,,,,3879613,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,['ff2033d8-6446-4987-99e3-4ae6a012bab7'],0,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2d46ed2b-ddb5-41ec-8753-a889b7efe2e7,1858,,,,3879613,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,Juventus,224,['e8bc12f0-63f8-45e9-8078-8f59aadba161'],0,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e8bc12f0-63f8-45e9-8078-8f59aadba161,1859,,,,3879613,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,Juventus,224,['2d46ed2b-ddb5-41ec-8753-a889b7efe2e7'],0,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.08394,,,,,,,,,,,,,db34f0e5-4a82-451e-9d63-bcdbeca559a9,5,,,"[60.0, 40.0]",3879613,0,,,,,-2.8235734,,Right Foot,,"[43.9, 34.7]",,Ground Pass,,16.949926,,,Andrea Costa,8664.0,,,,,Kick Off,1,From Kick Off,Manuel Pucciarelli,7054.0,Right Center Forward,2,Empoli,290,['2d055ca1-04cd-41a1-a267-850257645101'],0,,,,,,,,,,,,,,,Empoli,290,00:00:00.815,Pass,
,,,,,,,,,,,,,,,,,0.751475,,,,,,,,,,,,,d3ea2733-f910-4585-b499-5ab36e1d5862,8,,,"[45.5, 34.7]",3879613,0,,,,,1.8925469,,Right Foot,,"[44.3, 38.3]",,Ground Pass,,3.7947333,,,Lorenzo Tonelli,7160.0,,,,,,1,From Kick Off,Andrea Costa,8664.0,Left Center Back,2,Empoli,290,['089d79c8-e385-4796-9dcd-c8319415c488'],1,,,,,,,,,,,,,,,Empoli,290,00:00:01.979,Pass,
,,,,,,,,,,,,,,,,,2.642992,,,,,,,,,,,,,379387fb-e75b-46a0-9abc-2b0fef2c69e4,10,,,"[43.9, 38.3]",3879613,0,,,,,0.7806135,,Left Foot,,"[85.9, 79.9]",,High Pass,,59.114803,Out,,,,,True,,,,1,From Kick Off,Lorenzo Tonelli,7160.0,Right Center Back,2,Empoli,290,,2,,,,,,,,,,,,,,,Empoli,290,00:00:02.731,Pass,
,,,,,,,,,,,,,,,,,2.341848,,,,,,,,,,,,,d593ddda-4b35-4fd6-97b7-3442c8750fcf,11,,,"[42.0, 0.1]",3879613,0,,,,,2.8712673,,,,"[17.1, 7.0]",,Low Pass,,25.838343,,,Leonardo Bonucci,7173.0,,,,,Throw-in,1,From Throw In,Patrice Evra,20008.0,Left Back,3,Juventus,224,['ff123c9f-b541-484f-806b-844a3e38feb7'],11,,,,,,,,,,,,,,,Juventus,224,00:00:11.804,Pass,
