50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b610b933-c1a3-497d-853c-84aabbf8f5fd,1,,,,3879652,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 20057, 'name': 'Nigel de Jong'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 21272, 'name': 'Luiz Adriano de Souza da Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 70}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ab14302e-de97-4e95-be6a-2852c15e9d42,2,,,,3879652,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 7020, 'name': 'Jacopo Sala'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 32119, 'name': 'Leandro Greco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8e61bb23-0b6d-417c-bf3d-eddc1d4ba855,3,,,,3879652,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['47f2f8b3-0a96-483d-a04a-a6b1dfeaaef5'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,47f2f8b3-0a96-483d-a04a-a6b1dfeaaef5,4,,,,3879652,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['8e61bb23-0b6d-417c-bf3d-eddc1d4ba855'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,09496cb9-3624-43e4-b935-347771d70e90,1675,,,,3879652,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Hellas Verona,226,['cb0866b5-0bfd-4458-b6f8-43754c91bcb2'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cb0866b5-0bfd-4458-b6f8-43754c91bcb2,1676,,,,3879652,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Hellas Verona,226,['09496cb9-3624-43e4-b935-347771d70e90'],0,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.338727,,,,,,,,,,,,,86ef5c0d-7464-472f-b673-d67326d27401,5,,,"[61.0, 40.1]",3879652,0,,True,,,0.99945885,,Right Foot,,"[61.9, 41.5]",,Ground Pass,,1.6643317,,,Riccardo Montolivo,7166.0,,,,,Kick Off,1,From Kick Off,Nigel de Jong,20057.0,Right Defensive Midfield,2,AC Milan,243,['97560666-51f1-4b53-8b8b-039e5d822abb'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.662,Pass,
,,,,,,,,,,,,,,,,,,1.764049,,,,,,,,,,,,,5f2e897b-3bcd-4b10-96f5-1863ed652d5b,7,,,"[63.2, 41.7]",3879652,0,,True,,,-1.4056476,,Right Foot,,"[65.5, 27.9]",,Ground Pass,,13.990354,,,Giacomo Bonaventura,7026.0,,,,,,1,From Kick Off,Riccardo Montolivo,7166.0,Left Defensive Midfield,2,AC Milan,243,['3e3bebc0-5c64-41a6-86eb-92ca67bc276e'],1,,,,,,,,,,,,,,,,,AC Milan,243,00:00:01.383,Pass,
,,,,,,,,,,,,,,,,,,1.184817,,,,,,,,,,,,,91c88924-ab03-4f39-91a0-8fbe72410462,9,,,"[82.8, 22.5]",3879652,0,,,,,-0.89331067,,Right Foot,,"[93.5, 9.2]",,Ground Pass,,17.069857,,,Mattia De Sciglio,6944.0,,,,,,1,From Kick Off,Giacomo Bonaventura,7026.0,Left Midfield,2,AC Milan,243,['c0bf840e-d24a-4ea1-a6d7-2389443b2e3f'],5,,,,,,,,,,,,,,,,,AC Milan,243,00:00:05.365,Pass,
,,,,,,,,,,,,,,,,,,0.962676,,,,,,,,,,,,,9fd241c1-6c18-443e-b87c-20ca82e62117,12,,,"[93.3, 9.6]",3879652,0,,,,,2.0344439,,Right Foot,,"[83.8, 28.6]",,Ground Pass,,21.242645,,,Nigel de Jong,20057.0,,,,,,1,From Kick Off,Mattia De Sciglio,6944.0,Left Back,2,AC Milan,243,['8d0e86af-3980-440a-9e60-61a8561c702a'],8,,,,,,,,,,,,,,,,,AC Milan,243,00:00:08.182,Pass,
