bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7c183993-13a3-407f-aca5-2e8790ab8776,1,,,3879655,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 26683, 'name': 'Abdoulay Konko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3588, 'name': 'Wesley Hoedt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8847, 'name': 'Santiago Juan Gentiletti Selak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7778, 'name': 'Ştefan Daniel Radu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7107, 'name': 'Danilo Cataldi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 87}, {'player': {'id': 11427, 'name': 'Filip Đorđević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 19286, 'name': 'Miroslav Klose'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,470fe102-7696-4be8-bc10-fdadd2227a3d,2,,,3879655,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 2}, {'player': {'id': 7473, 'name': 'Lorenzo De Silvestri'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 9884, 'name': 'Niklas Moisander'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 87}, {'player': {'id': 7012, 'name': 'Vasco Regini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 15318, 'name': 'Lazaros Christodoulopoulos'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 7009, 'name': 'Édgar Osvaldo Barreto Cáceres'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 27595, 'name': 'Carlos Mario Carbonero Mancilla'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 77}, {'player': {'id': 19850, 'name': 'Antonio Cassano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Sampdoria,234,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,11a1ac1b-4cc7-466c-aaa1-d222a5300d30,3,,,3879655,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['f0c8d8a4-1883-45b8-a9fa-f599e598d315'],0,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f0c8d8a4-1883-45b8-a9fa-f599e598d315,4,,,3879655,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['11a1ac1b-4cc7-466c-aaa1-d222a5300d30'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a2851aa7-069e-4c08-9c08-025499848c02,1953,,,3879655,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,121,Lazio,236,['378f9179-d849-46e8-95c4-828b68432ceb'],0,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,378f9179-d849-46e8-95c4-828b68432ceb,1954,,,3879655,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,121,Lazio,236,['a2851aa7-069e-4c08-9c08-025499848c02'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,bdddf20f-03eb-4de1-a6e5-07f525142023,5,,"[61.0, 40.1]",3879655,0,True,,,2.1164513,,Left Foot,,,"[59.3, 42.9]",,Ground Pass,3.275668,,,,Miroslav Klose,19286.0,,,,,Kick Off,1,From Kick Off,Filip Đorđević,11427.0,Left Wing,2,Lazio,236,['843cd523-d174-4261-9580-b6b96bee5a14'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.469,Pass,
,,,,,,,,,,,,,,,,,1.664459,,,,,,,,,,,,,095e13e6-cd5c-4b58-9f45-261aa74bc675,7,,"[57.0, 41.8]",3879655,0,True,,,-2.884269,,Right Foot,,,"[51.3, 40.3]",,Ground Pass,5.894065,,,,Lucas Rodrigo Biglia,5510.0,,,,,,1,From Kick Off,Miroslav Klose,19286.0,Center Forward,2,Lazio,236,['e296bbab-d30c-48de-ac82-6e690e0a7de1'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.509,Pass,
,,,,,,,,,,,,,,,,,1.806528,,,,,,,,,,,,,8f4d251c-7733-416f-9d03-ad1ff39782e1,9,,"[50.7, 44.8]",3879655,0,,,,1.3940874,,Right Foot,,,"[55.7, 72.8]",,Ground Pass,28.442924,,,,Abdoulay Konko,26683.0,,,,,,1,From Kick Off,Lucas Rodrigo Biglia,5510.0,Center Defensive Midfield,2,Lazio,236,['f6585ce1-c937-4546-8afc-e756f2f733a1'],2,,,,,,,,,,,,,,,,,,Lazio,236,00:00:02.663,Pass,
,,,,,,,,,,,,,,,,,1.208335,,,,,,,,,,,,,4817d1a0-558d-40a5-96fa-6b695431f950,13,,"[61.4, 72.8]",3879655,0,,,,-2.757608,,Right Foot,,,"[51.5, 68.8]",,Ground Pass,10.6775465,,,,Danilo Cataldi,7107.0,,,,,,1,From Kick Off,Abdoulay Konko,26683.0,Right Back,2,Lazio,236,"['92844a33-f087-44e4-a4c8-74077297ff96', '931bab5c-5171-4367-8d25-450f45b97ca9']",6,,,,,,,,,,,,,,,,,,Lazio,236,00:00:06.714,Pass,True
