50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,17589884-7163-4528-b959-ec290fa4ce02,1,,,,3879676,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 44}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 11128, 'name': 'Umar Sadiq Mesbah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 97}]}",AS Roma,229,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8aea5130-29bf-49e4-a49a-a7ee6eae4a72,2,,,,3879676,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6360, 'name': 'Cristian Eduardo Zapata Valencia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 91}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 21272, 'name': 'Luiz Adriano de Souza da Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 70}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f556a898-64da-48dc-8c4b-4d408b2bb457,3,,,,3879676,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,['dadd7037-194c-4404-bf2a-e49035421827'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dadd7037-194c-4404-bf2a-e49035421827,4,,,,3879676,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Roma,229,['f556a898-64da-48dc-8c4b-4d408b2bb457'],0,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,082b39b8-a20d-496a-a441-6199081391c4,1676,,,,3879676,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,AC Milan,243,['08590bab-4b30-431f-9848-a19dd23d2f45'],0,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,08590bab-4b30-431f-9848-a19dd23d2f45,1677,,,,3879676,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,AC Milan,243,['082b39b8-a20d-496a-a441-6199081391c4'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.309237,,,,,,,,,,,,3dc81d4b-1e97-4677-97d4-e0561e7aa2c9,5,,,"[60.0, 40.0]",3879676,0,,,,,1.4601392,,Right Foot,,,,"[60.2, 41.8]",,Ground Pass,,1.811077,,,,,Miralem Pjanić,6947.0,,,,,Kick Off,1,From Kick Off,Umar Sadiq Mesbah,11128.0,Center Forward,2,AS Roma,229,['1df72216-10af-4a5b-9d0b-4690e5fe68ae'],0,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.567,Pass,
,,,,,,,,,,,,,,,,,,,1.354008,,,,,,,,,,,,de1da92b-9f78-486b-9072-9e369e2d0ccc,7,,,"[59.7, 41.1]",3879676,0,,,,,-2.9323711,,Right Foot,,,,"[45.1, 38.0]",,Ground Pass,,14.925482,,,,,Daniele De Rossi,7051.0,,,,,,1,From Kick Off,Miralem Pjanić,6947.0,Right Center Midfield,2,AS Roma,229,['eca8a33e-f752-4b5d-86e7-97222fba5cd6'],0,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.876,Pass,
,,,,,,,,,,,,,,,,,,,2.400597,,,,,,,,,,,,6caa1c17-99f6-4f5b-9024-2b8b7b7acdf0,11,,,"[46.4, 38.0]",3879676,0,,,,,1.6879051,,Right Foot,,,,"[42.4, 72.0]",,Ground Pass,,34.234486,,,,,Alessandro Florenzi,6964.0,,,,,,1,From Kick Off,Daniele De Rossi,7051.0,Center Defensive Midfield,2,AS Roma,229,"['2b619bf2-a6a6-41cb-b888-224447d31800', 'd4971514-55b1-4c91-8491-a52d3b685639']",2,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:02.765,Pass,True
,,,,,,,,,,,,,,,,,,,2.109052,,,,,,,,,,,,d784f6ca-0ebd-4d28-8db9-dea59d3ddda0,14,,,"[42.6, 75.6]",3879676,0,,,,,-0.18902054,,Right Foot,,,,"[88.6, 66.8]",,High Pass,,46.834175,,,Incomplete,,Umar Sadiq Mesbah,11128.0,,,,,,1,From Kick Off,Alessandro Florenzi,6964.0,Right Back,2,AS Roma,229,"['4b80bc1e-86e8-4102-bb82-de4fc7e1a2d2', '6cfb0adc-43b2-40ba-8977-e959496e9cfb']",6,,,,,,,,,,,,,,,,,,AS Roma,229,00:00:06.606,Pass,
