50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,483e795b-bb1e-4389-8a5c-7a2d947cffd8,1,,,3879687,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Torino,241,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 22271, 'name': 'Salvador Ichazo Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 16202, 'name': 'Nikola Maksimović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6965, 'name': 'Bruno da Silva Peres'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 33}, {'player': {'id': 7479, 'name': 'Cristian Molinaro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 40430, 'name': 'Giuseppe Vives'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 7465, 'name': 'Daniele Baselli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 7788, 'name': 'Ciro Immobile'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Torino,241,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,791db37d-083c-4373-8537-554fd9a6ab6c,2,,,3879687,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Torino,241,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 32037, 'name': 'Nicola Leali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 7462, 'name': 'Aleandro Rosi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 49440, 'name': 'Davide Bertoncini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 69}, {'player': {'id': 8291, 'name': 'Arlind Afrim Ajeti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 93}, {'player': {'id': 8661, 'name': 'Daniel Pavlovic'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 30911, 'name': 'Robert Gucher'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 23349, 'name': 'Paolo Sammarco'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 8793, 'name': 'Oliver Kragl'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 9898, 'name': 'Aleksandar Tonev'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 11608, 'name': 'Danilo Soddimo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 24235, 'name': 'Federico Dionisi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,77b41cc9-9b25-48a9-bd0d-c96f5859d2be,3,,,3879687,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Torino,241,['f80e4eaa-ba4f-4274-aff1-5b49f6f88e48'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f80e4eaa-ba4f-4274-aff1-5b49f6f88e48,4,,,3879687,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Torino,241,['77b41cc9-9b25-48a9-bd0d-c96f5859d2be'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1fb95447-ea4a-4b14-ae8e-877838a6ab13,1561,,,3879687,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Torino,241,['9fadc614-e3cc-4443-8333-c4d5b9c6cd98'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9fadc614-e3cc-4443-8333-c4d5b9c6cd98,1562,,,3879687,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Torino,241,['1fb95447-ea4a-4b14-ae8e-877838a6ab13'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.618742,,,,,,,,,,,,,,,c2c3673f-2929-43c5-93da-e7159c140c0d,5,,"[60.0, 40.0]",3879687,0,,,,,1.5707964,,Right Foot,,,,"[60.0, 42.1]",,Ground Pass,,2.1,,,Andrea Belotti,7471.0,,,,,,Kick Off,1,From Kick Off,Ciro Immobile,7788.0,Left Center Forward,2,Torino,241,['f4471ccf-a575-48f2-9808-95dfcb583b59'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.288,Pass,
,,,,,,,,,,,,,,,,1.005989,,,,,,,,,,,,,,,27ae7226-1c6b-4910-8318-6be9257ae0f3,8,,"[60.0, 42.1]",3879687,0,,,,,-2.9473517,,Right Foot,,,,"[47.8, 39.7]",,Ground Pass,,12.433825,,,Giuseppe Vives,40430.0,,,,,,,1,From Kick Off,Andrea Belotti,7471.0,Right Center Forward,2,Torino,241,['b8008455-f82c-4252-8401-e9fb121a31b2'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.947,Pass,
,,,,,,,,,,,,,,,,1.633088,,,,,,,,,,,,,,,6df28406-79f0-4119-9367-7fe52b6b753c,11,,"[52.9, 40.0]",3879687,0,,,,,-1.837807,,Right Foot,,,,"[46.8, 17.7]",,Ground Pass,,23.119257,,,Emiliano Moretti,7476.0,,,,,,,1,From Kick Off,Giuseppe Vives,40430.0,Center Defensive Midfield,2,Torino,241,['f2952914-d779-4886-b1d5-5eb4b9a21e69'],4,,,,,,,,,,,,,,,,,Torino,241,00:00:04.948,Pass,
,,,,,,,,,,,,,,,,1.354256,,,,,,,,,,,,,,,410882be-60c0-41e3-9994-aceb8cc64ae7,14,,"[53.9, 17.0]",3879687,0,,,,,-0.6997189,,Left Foot,,,,"[71.6, 2.1]",,Ground Pass,,23.13655,,,Cristian Molinaro,7479.0,,,,,,,1,From Kick Off,Emiliano Moretti,7476.0,Left Center Back,2,Torino,241,['5d6ad416-7730-4a50-aabf-dafe934637dd'],8,,,,,,,,,,,,,,,,,Torino,241,00:00:08.235,Pass,
