50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8ca102fe-d022-4776-be86-fc6e121bdd8a,1,,,3879704,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 11183, 'name': 'Alex Nicolao Telles'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 77}, {'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 83}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 44}, {'player': {'id': 5587, 'name': 'Adem Ljajić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 8}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c8e74143-4252-43e4-a48e-d0ec3b221aec,2,,,3879704,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 45508, 'name': 'Emanuele Suagher'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 31273, 'name': 'Marco Crimi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 387476, 'name': 'Raphael Martinho Alves de Lima'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 15415, 'name': 'Matteo Mancosu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 32608, 'name': 'Jerry Uche Mbakogu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 99}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4d90c4bd-6ee7-4fb4-a15d-5807301d9ce0,3,,,3879704,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['e8e5609e-6a09-457b-9ddd-3020fac6adfd'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e8e5609e-6a09-457b-9ddd-3020fac6adfd,4,,,3879704,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['4d90c4bd-6ee7-4fb4-a15d-5807301d9ce0'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,06ff10f3-f6dc-41ae-a144-3348e732a0f3,1874,,,3879704,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Inter Milan,238,['9aeb6e0c-48c4-41b0-ab15-fe9fe935bd5b'],0,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9aeb6e0c-48c4-41b0-ab15-fe9fe935bd5b,1875,,,3879704,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Inter Milan,238,['06ff10f3-f6dc-41ae-a144-3348e732a0f3'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.336556,,,,,,,,,,,8d228b27-1a9b-4499-8659-26b0439dd518,5,,"[61.0, 40.1]",3879704,0,,,,,2.4980915,,Right Foot,,,"[59.8, 41.0]",,Ground Pass,,1.5,,,,Mauro Emanuel Icardi Rivero,6987.0,,,,,Kick Off,1,From Kick Off,Rodrigo Sebastián Palacio,7165.0,Left Center Forward,2,Inter Milan,238,['d97ba531-83df-4366-8e94-2ba70fd7b7ab'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.772,Pass,
,,,,,,,,,,,,,,,,,,1.025749,,,,,,,,,,,4095a764-8bea-447a-b7c6-425d6c7de550,7,,"[60.4, 42.3]",3879704,0,,,,,3.0300574,,Right Foot,,,"[47.9, 43.7]",,Ground Pass,,12.5781555,,,,Marcelo Brozović,5469.0,,,,,,1,From Kick Off,Mauro Emanuel Icardi Rivero,6987.0,Right Center Forward,2,Inter Milan,238,['4230d8e1-72a7-4b71-a1e7-c55fc1256f26'],1,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:01.108,Pass,
,,,,,,,,,,,,,,,,,,1.879387,,,,,,,,,,,7657b736-8908-4de8-8b74-ad923f22eab1,10,,"[45.3, 47.1]",3879704,0,,,,,1.6508921,,Right Foot,,,"[42.9, 77.0]",,Ground Pass,,29.996166,,,,Martín Montoya Torralbo,6593.0,,,,,,1,From Kick Off,Marcelo Brozović,5469.0,Right Defensive Midfield,2,Inter Milan,238,['abdc7892-45d6-4fb8-ba50-44e31f17614c'],3,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:03.131,Pass,
,,,,,,,,,,,,,,,,,,1.444688,,,,,,,,,,,f3134013-3765-4c04-859a-fe63fbc03520,14,,"[49.5, 77.1]",3879704,0,,,,,-2.7691045,,Right Foot,,,"[34.4, 71.2]",,Ground Pass,,16.211723,,,,Jeison Fabián Murillo Cerón,6585.0,,,,,,1,From Kick Off,Martín Montoya Torralbo,6593.0,Right Back,2,Inter Milan,238,['78638e76-1653-452f-b4fa-ab111d97a8c1'],7,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:07.597,Pass,
