50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ee0033e4-5fb1-4dcf-bc0a-061f8bb8bdd8,1,,,3879705,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 10031, 'name': 'Marcello Gazzola'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 6963, 'name': 'Lorenzo Pellegrini'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 30941, 'name': 'Karim Laribi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8093, 'name': 'Diego Falcinelli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0397a11d-3cb0-49e4-899b-cca0a574dde6,2,,,3879705,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 8873, 'name': 'Marios Oikonomou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 30745, 'name': 'Daniele Gastaldello'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 40428, 'name': 'Archimede Morleo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8280, 'name': 'Godfred Donsah'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 8851, 'name': 'Saphir Sliti Taïder'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 34565, 'name': 'Anthony Mounier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 7775, 'name': 'Emanuele Giaccherini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8103, 'name': 'Mattia Destro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d112516a-9bdd-4c99-b56b-513d8b2dc3a7,3,,,3879705,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['581796fb-9254-41b9-942e-ff88cdee9473'],0,,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,581796fb-9254-41b9-942e-ff88cdee9473,4,,,3879705,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['d112516a-9bdd-4c99-b56b-513d8b2dc3a7'],0,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c1562dae-7044-4b8d-9f02-4335302c21ca,1833,,,3879705,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Sassuolo,232,['f10d8ea5-37ec-47ae-a0f8-eda985babbe9'],0,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f10d8ea5-37ec-47ae-a0f8-eda985babbe9,1834,,,3879705,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Sassuolo,232,['c1562dae-7044-4b8d-9f02-4335302c21ca'],0,,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.332503,,,,,,,,,,,,41f204f2-9583-4624-a6ad-c69506e249d7,5,,"[60.0, 40.0]",3879705,0,,True,,,-0.69473827,,Right Foot,,,,"[61.2, 39.0]",,Ground Pass,,1.56205,,,Karim Laribi,30941.0,,,,,,Kick Off,1,From Kick Off,Diego Falcinelli,8093.0,Center Forward,2,Sassuolo,232,['7b2a1a51-3646-4fd7-83dd-be95382a79b9'],1,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:01.024,Pass,
,,,,,,,,,,,,,,,,,0.969664,,,,,,,,,,,,eefedffe-e739-4bca-b41f-3be35e44f613,7,,"[61.9, 36.9]",3879705,0,,,,,-1.5707964,,Right Foot,,,,"[61.9, 26.7]",,Ground Pass,,10.2,,,Joseph Alfred Duncan,7698.0,,,,,,,1,From Kick Off,Karim Laribi,30941.0,Right Center Midfield,2,Sassuolo,232,['1c71c47f-b4c9-4cb3-a851-46577a2cdd74'],1,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:01.711,Pass,
,,,,,,,,,,,,,,,,,1.084347,,,,,,,,,,,,5123905e-124f-4df1-b6df-9f98972764e9,11,,"[62.9, 24.4]",3879705,0,,,,,2.2701132,,Left Foot,,,,"[53.9, 35.1]",,Ground Pass,,13.981773,,,Lorenzo Pellegrini,6963.0,,,,,,,1,From Kick Off,Joseph Alfred Duncan,7698.0,Left Center Midfield,2,Sassuolo,232,['ffbd7042-803e-4191-9c1b-8ff567a96633'],3,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:03.036,Pass,
,,,,,,,,,,,,,,,,,1.694362,,,,,,,,,,,,bd051699-f0f9-45b3-af84-80f2341fabeb,15,,"[53.4, 37.2]",3879705,0,,,,,2.320174,,Right Foot,,,,"[42.7, 48.7]",,Ground Pass,,15.70796,,,Paolo Cannavaro,8848.0,,,,,,,1,From Kick Off,Lorenzo Pellegrini,6963.0,Center Defensive Midfield,2,Sassuolo,232,"['7f6fce79-33b7-4f36-af5d-5a09673b6c2e', 'b3290e4a-fb38-4513-86d1-3f5e84879015']",4,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:04.647,Pass,True
