50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,978db07d-3397-4261-817b-a86f61433665,1,,,3879776,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7164, 'name': 'Ibrahima Mbaye'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 30745, 'name': 'Daniele Gastaldello'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 8849, 'name': 'Domenico Maietta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 399299, 'name': 'Kévin Constant'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8280, 'name': 'Godfred Donsah'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 8851, 'name': 'Saphir Sliti Taïder'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 34565, 'name': 'Anthony Mounier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 7775, 'name': 'Emanuele Giaccherini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8103, 'name': 'Mattia Destro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,14a972e0-c894-46fa-9c8b-3b6b2ecf6704,2,,,3879776,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 32525, 'name': 'Fabrizio Poli'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 13}, {'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 31273, 'name': 'Marco Crimi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 7170, 'name': 'Simone Verdi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15415, 'name': 'Matteo Mancosu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 25}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b47cc935-841a-4148-9efb-4431ba327d05,3,,,3879776,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['8b7f7ed1-d4cc-4f9b-a08b-9b462908401b'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8b7f7ed1-d4cc-4f9b-a08b-9b462908401b,4,,,3879776,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['b47cc935-841a-4148-9efb-4431ba327d05'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4d2a2e8c-b965-4811-9922-3c99f5d34aef,1836,,,3879776,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,115,Carpi,1683,['c5fa1cd2-6161-4f27-93bb-f26f56a46132'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c5fa1cd2-6161-4f27-93bb-f26f56a46132,1837,,,3879776,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,115,Carpi,1683,['4d2a2e8c-b965-4811-9922-3c99f5d34aef'],0,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.476766,,,,,,,,,,,,62640520-7094-4e76-b520-2768be396882,5,,"[61.0, 40.1]",3879776,0,,,,2.2455373,,Right Foot,,,,"[60.6, 40.6]",Ground Pass,,0.64031243,,,,Matteo Mancosu,15415.0,,,,,,Kick Off,1,From Kick Off,Isaac Cofie,7460.0,Left Center Midfield,2,Carpi,1683,['d5c5d2e1-7d8d-432a-928b-1017e85b0d06'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.165,Pass,
,,,,,,,,,,,,,,,,,0.962758,,,,,,,,,,,,7fc7f7f0-2181-462c-95be-00aea50d5af1,7,,"[60.2, 40.8]",3879776,0,,,,3.1415927,,Right Foot,,,,"[51.4, 40.8]",Ground Pass,,8.8,,,,Raffaele Bianco,352172.0,,,,,,,1,From Kick Off,Matteo Mancosu,15415.0,Left Center Forward,2,Carpi,1683,['be228fb4-cb5b-4205-b929-752a13b56c09'],0,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.641,Pass,
,,,,,,,,,,,,,,,,,2.522153,,,,,,,,,,,,d07682d0-8e28-4177-b997-78c8be48e651,10,,"[52.0, 42.2]",3879776,0,,,,1.5480082,,Right Foot,,,,"[52.8, 77.3]",Ground Pass,,35.109116,,,,Gaetano Letizia,7114.0,,,,,,,1,From Kick Off,Raffaele Bianco,352172.0,Center Defensive Midfield,2,Carpi,1683,['8c206417-c6d4-4c7f-8875-dbd8e268914a'],2,,,,,,,,,,,,,,,,Carpi,1683,00:00:02.653,Pass,
,,,,,,,,,,,,,,,,,4.215995,,,,,,,,,,,,8392d484-c557-4ac2-84ca-6b5a9089c133,13,,"[56.6, 78.9]",3879776,0,,,,-0.53054,,Right Foot,,,,"[112.0, 46.4]",High Pass,,64.229355,,Incomplete,,Matteo Mancosu,15415.0,,,,,,,1,From Kick Off,Gaetano Letizia,7114.0,Right Wing Back,2,Carpi,1683,"['6f1127e2-6ece-4536-841e-4576d8c0e701', '71c1f6db-7538-4ff0-b631-3d169e0abc61']",6,,,,,,,,,,,,,,,,Carpi,1683,00:00:06.310,Pass,
