50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,c07cea49-9f7c-462d-a915-7f47b0a9b84c,1,,,,3879782,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 11499, 'name': 'Riccardo Gagliolo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 352172, 'name': 'Raffaele Bianco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 387472, 'name': 'Lorenzo Pasciuti'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 11502, 'name': 'Antonio Di Gaudio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 30829, 'name': 'Lorenzo Lollo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 15415, 'name': 'Matteo Mancosu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,ffc38949-c725-48f4-b7a3-110804e6b5fe,2,,,,3879782,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 32037, 'name': 'Nicola Leali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 7462, 'name': 'Aleandro Rosi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 8291, 'name': 'Arlind Afrim Ajeti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 93}, {'player': {'id': 398941, 'name': 'Vasyl Pryyma'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 44}, {'player': {'id': 8661, 'name': 'Daniel Pavlovic'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 20636, 'name': 'Mirko Gori'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23349, 'name': 'Paolo Sammarco'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 386512, 'name': 'Alessandro Frara'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 8793, 'name': 'Oliver Kragl'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 24235, 'name': 'Federico Dionisi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 13613, 'name': 'Daniel Ciofani'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,a8c75dd2-898d-4729-bad6-f32657054cd0,3,,,,3879782,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['35671916-3484-4023-9664-a395e6f5be98'],0,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,35671916-3484-4023-9664-a395e6f5be98,4,,,,3879782,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Carpi,1683,['a8c75dd2-898d-4729-bad6-f32657054cd0'],0,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,bbfe1d98-1160-4601-ad86-7870137f1ea9,1643,,,,3879782,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,110,Carpi,1683,['0391b137-40ed-4c9c-92a9-81aaf6457e48'],0,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0391b137-40ed-4c9c-92a9-81aaf6457e48,1644,,,,3879782,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,110,Carpi,1683,['bbfe1d98-1160-4601-ad86-7870137f1ea9'],0,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.455522,,,,,,,,,,,,,,,,,1c7a5179-a432-4cf4-ab34-567217695651,5,,,"[60.0, 40.0]",3879782,0,,,,,1.7126933,,Right Foot,,,"[59.7, 42.1]",,Ground Pass,,2.1213202,,,,Isaac Cofie,7460.0,,,,,Kick Off,1,From Kick Off,Lorenzo Lollo,30829.0,Center Attacking Midfield,2,Carpi,1683,['5c00e4c2-8f51-4762-aa71-9c55c792b7d9'],0,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.424,Pass,
,,,,,,,,,,,,,,,,,,0.98757,,,,,,,,,,,,,,,,,1dbc6ef5-3b51-4901-b6f0-2a21c0bcd952,7,,,"[60.0, 42.1]",3879782,0,,,,,-3.0653517,,Right Foot,,,"[45.6, 41.0]",,Ground Pass,,14.441953,,,,Raffaele Bianco,352172.0,,,,,,1,From Kick Off,Isaac Cofie,7460.0,Right Defensive Midfield,2,Carpi,1683,['200033db-2abe-4315-906a-02210c543edc'],0,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.880,Pass,
,,,,,,,,,,,,,,,,,,2.713002,,,,,,,,,,,,,,,,,e828f7f1-569e-4a39-a1e5-18017c7a5445,10,,,"[48.2, 41.6]",3879782,0,,,,,-0.47932288,,Right Foot,,,"[96.3, 16.6]",,High Pass,,54.208946,,Incomplete,,Matteo Mancosu,15415.0,,,,,,1,From Kick Off,Raffaele Bianco,352172.0,Left Defensive Midfield,2,Carpi,1683,"['a422dfd7-eba0-4313-973c-08f7968c89ae', 'a55d1bf0-3277-405f-bc1d-6f4cf6e87125']",3,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:03.429,Pass,
,,,,,,,,,,,,,,,,,,0.200075,,,,,,,,,,,,,,,,,d3c87ec8-a921-4fa2-905d-14ab14ffcfb0,15,,,"[65.1, 5.3]",3879782,0,,,,,1.5707964,,Right Foot,,,"[65.1, 9.3]",,Low Pass,,4.0,,Incomplete,,Raffaele Bianco,352172.0,,,,,Recovery,1,From Kick Off,Gaetano Letizia,7114.0,Left Back,2,Carpi,1683,"['48d371f2-4f4a-480e-81d6-12ae55c5cfc9', 'c08106e1-7dbd-4177-ba3b-8099440726e1']",11,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:11.245,Pass,
