50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2eeffe67-79db-46db-a303-cd2180ccbf62,1,,,,3879784,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7148, 'name': 'Mattia Perin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9940, 'name': 'Armando Izzo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7467, 'name': 'Nicolás Andrés Burdisso'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 7176, 'name': 'Sebastian De Maio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7464, 'name': 'Cristian Daniel Ansaldi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 34}, {'player': {'id': 7475, 'name': 'Tomás Eduardo Rincón Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 5554, 'name': 'Blerim Džemaili'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 7702, 'name': 'Alessio Cerci'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 93}, {'player': {'id': 7146, 'name': 'Goran Pandev'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fb106e3e-ebac-4ec2-8a87-699fb1e4d315,2,,,,3879784,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 34881, 'name': 'Daniele Padelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16202, 'name': 'Nikola Maksimović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6965, 'name': 'Bruno da Silva Peres'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 33}, {'player': {'id': 7479, 'name': 'Cristian Molinaro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 40430, 'name': 'Giuseppe Vives'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7474, 'name': 'Afriyie Acquah'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 7788, 'name': 'Ciro Immobile'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Torino,241,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,830fd94c-7bb8-4e60-af3b-1f1290016da8,3,,,,3879784,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['5d294472-5309-434e-9795-8ab1d8eb626f'],0,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5d294472-5309-434e-9795-8ab1d8eb626f,4,,,,3879784,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['830fd94c-7bb8-4e60-af3b-1f1290016da8'],0,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ee794c53-3a1c-4a04-b826-4925bc5f36f4,1624,,,,3879784,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,96,Genoa,233,['3beed542-38ad-4fb0-a06f-ab346286e2e9'],0,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3beed542-38ad-4fb0-a06f-ab346286e2e9,1625,,,,3879784,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,96,Genoa,233,['ee794c53-3a1c-4a04-b826-4925bc5f36f4'],0,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.200002,,,,,,,,,,,,,,,fa990a88-d02f-4c91-a101-37acfb6d624c,5,,,"[60.0, 40.0]",3879784,0,,,,,1.9974238,,Left Foot,,,,"[59.5, 41.1]",,Ground Pass,,1.2083046,,,,,Andrea Belotti,7471.0,,,,,,Kick Off,1,From Kick Off,Ciro Immobile,7788.0,Left Center Forward,2,Torino,241,['40148f01-52c1-40d2-b23b-4c721594b2e5'],1,,,,,,,,,,,,,,,Torino,241,00:00:01.529,Pass,
,,,,,,,,,,,,,,,,,,0.894326,,,,,,,,,,,,,,,c48e9a43-790e-4a28-91df-7495c09148f0,7,,,"[59.7, 41.1]",3879784,0,,,,,-2.5356386,,Right Foot,,,,"[47.0, 32.3]",,Ground Pass,,15.45089,,,,,Giuseppe Vives,40430.0,,,,,,,1,From Kick Off,Andrea Belotti,7471.0,Right Center Forward,2,Torino,241,['936d98ce-cb34-461a-afed-c32fd8bab920'],1,,,,,,,,,,,,,,,Torino,241,00:00:01.729,Pass,
,,,,,,,,,,,,,,,,,,2.097323,,,,,,,,,,,,,,,6b6164f5-4e85-4b66-9889-eb6044a8ae12,10,,,"[47.0, 32.3]",3879784,0,,,,,1.5036193,,Right Foot,,,,"[49.2, 65.0]",,Ground Pass,,32.773922,,,,,Nikola Maksimović,16202.0,,,,,,,1,From Kick Off,Giuseppe Vives,40430.0,Center Defensive Midfield,2,Torino,241,['9afb3f02-812d-4772-a3e3-5a1938f6f0db'],3,,,,,,,,,,,,,,,Torino,241,00:00:03.534,Pass,
,,,,,,,,,,,,,,,,,,2.128961,,,,,,,,,,,,,,,3030555e-44d2-42d4-a643-0f3d89024636,14,,,"[47.9, 60.8]",3879784,0,,,,,-1.9197974,,Right Foot,,,,"[35.2, 25.9]",,High Pass,,37.138927,,,,,Emiliano Moretti,7476.0,,,,,,,1,From Kick Off,Nikola Maksimović,16202.0,Right Center Back,2,Torino,241,"['1d60ec25-e0ac-497f-afc4-c7452bd0eba2', '3aa0643e-b8fd-4bbb-917e-3d15ba12582d']",7,,,,,,,,,,,,,,,Torino,241,00:00:07.006,Pass,True
