50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,821f5101-f7b4-4ae4-9765-454feda38a0e,1,,,,3879786,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7792, 'name': 'Giuseppe Pezzella'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 97}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 8552, 'name': 'Robin Quaison'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 40349, 'name': 'Ivaylo Chochev'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,880742cc-b26c-4efd-b3f1-5cb73ec2cfad,2,,,,3879786,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Napoli,227,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8c85e453-c62f-4988-9488-04476b0deb0f,3,,,,3879786,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['acc017fe-3d96-4389-9a9e-0f4f88cc24f2'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,acc017fe-3d96-4389-9a9e-0f4f88cc24f2,4,,,,3879786,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['8c85e453-c62f-4988-9488-04476b0deb0f'],0,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f20d62e0-2709-4676-8731-337ea151bc42,2219,,,,3879786,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Napoli,227,['d033131f-1905-437f-aa86-875fa09c5752'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d033131f-1905-437f-aa86-875fa09c5752,2220,,,,3879786,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Napoli,227,['f20d62e0-2709-4676-8731-337ea151bc42'],0,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.626313,,,,,,,,,,,,,,,582027eb-31ca-4388-b049-8fc69eee2d73,5,,,"[60.0, 40.0]",3879786,0,True,,,-1.1071488,,Right Foot,,,,"[61.2, 37.6]",Ground Pass,,2.6832817,,,,,Franco Damián Vázquez,6719.0,,,,,Kick Off,1,From Kick Off,Alberto Gilardino,38389.0,Center Forward,2,Palermo,2256,['01d7baee-f61a-4a0c-814e-c83061bc3aad'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.404,Pass,
,,,,,,,,,,,,,,,,,,0.545405,,,,,,,,,,,,,,,7d0bd11b-96c6-48a6-bff0-0f9c5c6d4412,8,,,"[63.6, 41.0]",3879786,0,,,,2.13488,,Left Foot,,,,"[57.4, 50.8]",Ground Pass,,11.596551,,,,,Oscar Hiljemark,5605.0,,,,,,1,From Kick Off,Franco Damián Vázquez,6719.0,Center Attacking Midfield,2,Palermo,2256,"['dc966b8b-62c8-45dc-97f8-5576705e7a22', 'e34c5fe8-25dc-4c53-bee2-289cfb124389']",2,,,,,,,,,,,,,,,,,Palermo,2256,00:00:02.290,Pass,True
,,,,,,,,,,,,,,,,,,1.183534,,,,,,,,,,,,,,,077fc7cf-fbc3-426a-bb01-fcce063670c6,14,,,"[68.9, 27.3]",3879786,0,,,,1.1071488,,Right Foot,,,,"[73.2, 35.9]",Ground Pass,,9.615092,,,,,Gonzalo Gerardo Higuaín,5497.0,,,,,,1,From Counter,Lorenzo Insigne,7037.0,Left Wing,3,Napoli,227,['9153a356-14ca-40d2-86ac-0a43be52fdf1'],4,,,,,,,,,,,,,,,,,Napoli,227,00:00:04.886,Pass,
,,,,,,,,,,,,,,,,,,1.140679,,,,,,,,,,,,,,,1f980c48-6354-43d0-be6e-615c23760efc,17,,,"[73.0, 35.9]",3879786,0,,,,-0.50486135,05fe4386-fe60-4d20-b1cc-694333c2e119,Left Foot,,,,"[88.2, 27.5]",Ground Pass,,17.366634,,,,,Lorenzo Insigne,7037.0,True,,,,,1,From Counter,Gonzalo Gerardo Higuaín,5497.0,Center Forward,3,Napoli,227,['2e39ce1b-eabb-44d0-8f2d-e7dd85e581e5'],6,,,,,,,,,,,,,,,,,Napoli,227,00:00:06.110,Pass,
,,,,,,,,,,,,,,,,,,3.05342,,,,,,,,,,,,,,,58d55ddf-5455-40c9-bcd9-191fc8f0629a,22,,,"[6.0, 44.0]",3879786,0,,,,0.30739748,,Right Foot,,,,"[62.7, 62.0]",High Pass,,59.48857,,,Incomplete,,Oscar Hiljemark,5605.0,,,,,Goal Kick,1,From Goal Kick,Stefano Sorrentino,7055.0,Goalkeeper,4,Palermo,2256,"['8b9774da-66df-4ba9-91dd-58902a5d9d2f', 'ee1a8963-89e1-47ca-b803-e78d99561e5d']",30,,,,,,,,,,,,,,,,,Palermo,2256,00:00:30.515,Pass,
,,,,,,,,,,,,,,,,,,0.151343,,,,,,,,,,,,,,,dc57df22-6e0d-496f-b3d1-1f0728dcb4ee,25,,,"[68.7, 67.3]",3879786,0,,,,0.4743999,,Right Foot,,,,"[72.4, 69.2]",Low Pass,,4.159327,,,Incomplete,,Alberto Gilardino,38389.0,,,,,Recovery,1,From Goal Kick,Robin Quaison,8552.0,Right Midfield,4,Palermo,2256,"['519922d3-4c96-466c-99ca-b974e622a683', '938c953a-ebba-4c63-b9fe-665da83f923a']",34,,,,,,,,,,,,,,,,,Palermo,2256,00:00:34.137,Pass,
,,,,,,,,,,,,,,,,,,0.443368,,,,,,,,,,,,,,,6515b041-3829-48d5-ad83-f261a72c4359,30,,,"[52.0, 3.6]",3879786,0,,,,0.3270981,,Left Foot,,,,"[57.6, 5.5]",Ground Pass,,5.9135437,,,,,Lorenzo Insigne,7037.0,,,,,,1,Regular Play,Faouzi Ghoulam,8876.0,Left Back,5,Napoli,227,"['14f0b04b-e952-4f3d-a773-bbc8f817fe67', '5576a15d-42e1-4810-8a9b-4f8d0e2ed7b9']",35,,,,,,,,,,,,,,,,,Napoli,227,00:00:35.948,Pass,True
,,,,,,,,,,,,,,,,,,0.510331,,,,,,,,,,,,,,,307eaf46-e499-4d32-a445-3be54fb7d87c,33,,,"[57.2, 5.5]",3879786,0,,,,2.0880837,,Left Foot,,,,"[53.9, 11.3]",Ground Pass,,6.6730804,,,,,Marek Hamšík,7025.0,,,,,,1,Regular Play,Lorenzo Insigne,7037.0,Left Wing,5,Napoli,227,['018c2f3c-cf81-4796-b041-3d65e4345e90'],36,,,,,,,,,,,,,,,,,Napoli,227,00:00:36.432,Pass,
,,,,,,,,,,,,,,,,,,1.138266,,,,,,,,,,,,,,,c98ab292-a5b9-4ea4-b6e6-714ff43a7090,36,,,"[53.9, 11.3]",3879786,0,,,,0.04542328,,Right Foot,,,,"[62.7, 11.7]",Ground Pass,,8.809086,,,,,Lorenzo Insigne,7037.0,,,,,,1,Regular Play,Marek Hamšík,7025.0,Left Center Midfield,5,Napoli,227,['e64ba898-d2ae-4a27-90f6-44998de3160c'],36,,,,,,,,,,,,,,,,,Napoli,227,00:00:36.982,Pass,
,,,,,,,,,,,,,,,,,,0.365448,,,,,,,,,,,,,,,6034835b-41d1-4f45-ae9b-7960c5015eff,38,,,"[62.7, 11.7]",3879786,0,,,,0.9936041,,Right Foot,,,,"[68.3, 20.3]",Ground Pass,,10.262553,,,Incomplete,,Gonzalo Gerardo Higuaín,5497.0,,,,,,1,Regular Play,Lorenzo Insigne,7037.0,Left Wing,5,Napoli,227,"['18afa918-295a-4e4c-9dba-613cbca8747d', '760c4e39-4cb8-4d6f-83cd-2b7c82912893']",38,,,,,,,,,,,,,,,,,Napoli,227,00:00:38.120,Pass,
,,,,,,,,,,,,,,,,,,0.775858,,,,,,,,,,,,,,,760c4e39-4cb8-4d6f-83cd-2b7c82912893,40,,,"[51.8, 59.8]",3879786,0,,,,0.87815446,,Left Foot,,,,"[55.7, 64.5]",Ground Pass,,6.1073728,,,Incomplete,,Oscar Hiljemark,5605.0,,,,,Recovery,1,Regular Play,Mato Jajalo,30735.0,Left Defensive Midfield,5,Napoli,227,"['6034835b-41d1-4f45-ae9b-7960c5015eff', '9a49f29d-a88c-427a-8e95-b7dee11c341a', 'cb78132a-f877-40fd-bf87-b4827488a124']",38,,,,,,,,,,,,,,,,,Palermo,2256,00:00:38.486,Pass,
,,,,,,,,,,,,,,,,,,1.003997,,,,,,,,,,,,,,,cb78132a-f877-40fd-bf87-b4827488a124,42,,,"[64.4, 15.6]",3879786,0,,,,1.6092389,,Right Foot,,,,"[64.0, 26.0]",Ground Pass,,10.407689,,,Incomplete,,Allan Marques Loureiro,7035.0,,,,,Recovery,1,Regular Play,Lorenzo Insigne,7037.0,Left Wing,5,Napoli,227,"['5a706341-3913-4c6a-9337-2036ba212e67', '760c4e39-4cb8-4d6f-83cd-2b7c82912893', 'e21400bd-8f0f-478c-8384-0d239b07b790']",39,,,,,,,,,,,,,,,,,Napoli,227,00:00:39.262,Pass,
,,,,,,,,,,,,,,,,,,1.202913,,,,,,,,,,,,,,,0d8308ba-b37d-49d0-8935-a480dd8d59c1,47,,,"[54.0, 57.3]",3879786,0,,,,2.661187,,Right Foot,,,,"[39.8, 64.7]",Ground Pass,,16.012495,,,,,Aljaž Struna,24061.0,,,,,,1,Regular Play,Franco Damián Vázquez,6719.0,Center Attacking Midfield,6,Palermo,2256,['2e0b5bce-d6de-406b-9dbb-9faf00a2efa7'],41,,,,,,,,,,,,,,,,,Palermo,2256,00:00:41.046,Pass,
