50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,509080b5-489d-4d92-9281-aa93fec609f4,1,,,,3879812,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 30928, 'name': 'Roberto Vitiello'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7792, 'name': 'Giuseppe Pezzella'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 97}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 31268, 'name': 'Michel Morganella'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 77}, {'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 8552, 'name': 'Robin Quaison'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d946abdf-6581-46a1-805c-6b7ccdb49aee,2,,,,3879812,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8190, 'name': 'Patricio Gabarrón Gil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 3103, 'name': 'Milan Biševac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 8847, 'name': 'Santiago Juan Gentiletti Selak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 33311, 'name': 'Ogenyi Eddy Onazi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 87}, {'player': {'id': 3145, 'name': 'Keita Baldé Diao'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19286, 'name': 'Miroslav Klose'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,02324998-197e-4b8b-8504-0b2cd6a4e0ac,3,,,,3879812,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['9e203d1a-5f1f-4e34-846f-1e8201752bf3'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9e203d1a-5f1f-4e34-846f-1e8201752bf3,4,,,,3879812,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['02324998-197e-4b8b-8504-0b2cd6a4e0ac'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,18bd7ca3-7388-460f-bf5c-aca99fb090e4,2048,,,,3879812,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Lazio,236,['3d6021e1-baef-4b3d-9ed5-295a1ec103db'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3d6021e1-baef-4b3d-9ed5-295a1ec103db,2049,,,,3879812,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Lazio,236,['18bd7ca3-7388-460f-bf5c-aca99fb090e4'],0,,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.770043,,,,,,,,,,,,,28774b0e-87a4-4c70-817d-87361167f27d,5,,,"[60.0, 40.0]",3879812,0,True,,,2.3561945,,Right Foot,,,,"[59.3, 40.7]",,Ground Pass,,0.98994946,,,,,Robin Quaison,8552.0,,,,,Kick Off,1,From Kick Off,Alberto Gilardino,38389.0,Center Forward,2,Palermo,2256,['d12f3829-26e1-4e26-be80-4ac216747626'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.448,Pass,
,,,,,,,,,,,,,,,,1.793763,,,,,,,,,,,,,7fe02619-7f22-403f-93ea-a0d12cf0f983,7,,,"[58.8, 38.8]",3879812,0,,,,-2.387313,,Right Foot,,,,"[32.3, 13.9]",,Ground Pass,,36.362892,,,,,Giuseppe Pezzella,7792.0,,,,,,1,From Kick Off,Robin Quaison,8552.0,Center Attacking Midfield,2,Palermo,2256,['f6be5513-1f18-4dc3-be0b-afac827d3abd'],2,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:02.046,Pass,
,,,,,,,,,,,,,,,,2.326104,,,,,,,,,,,,,c2520dd9-f888-48b9-931a-886cf2c483df,10,,,"[59.5, 3.0]",3879812,0,,,,0.41122654,,Left Foot,,,,"[99.4, 20.4]",,High Pass,,43.528957,,,Incomplete,,Alberto Gilardino,38389.0,,,,,,1,From Kick Off,Giuseppe Pezzella,7792.0,Left Back,2,Palermo,2256,"['2503bd9c-99bd-41a6-b81e-422107f4fe43', 'd10ee658-0335-4b6f-b45d-39acd213ee98']",8,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:08.610,Pass,
,,,,,,,,,,,,,,,,0.744763,,,,,,,,,,,,,546247e0-4141-4227-92dd-5a4323614332,14,,,"[25.1, 61.4]",3879812,0,,,,-0.7680086,,Right Foot,,,,"[36.8, 50.1]",,Ground Pass,,16.265915,,,,,Marco Parolo,8173.0,,,,,Recovery,1,From Kick Off,Patricio Gabarrón Gil,8190.0,Right Back,2,Palermo,2256,['4c0e23d0-2b08-47a9-bfa4-8ce6021bb083'],12,,,,,,,,,,,,,,,,,,Lazio,236,00:00:12.986,Pass,
,,,,,,,,,,,,,,,,2.856539,,,,,,,,,,,,,bc3dea25-cd2f-4b7c-92b8-53047a01a67e,16,,,"[36.8, 50.1]",3879812,0,,,,1.152572,,Right Foot,,,,"[50.0, 79.8]",,High Pass,,32.501232,,,Out,,Antonio Candreva,7776.0,,,,,,1,From Kick Off,Marco Parolo,8173.0,Left Center Midfield,2,Palermo,2256,['558292a9-0fe8-4c0f-be44-680feabc0e81'],13,,,,,,,,,,,,,,,,,,Lazio,236,00:00:13.731,Pass,
,,,,,,,,,,,,,,,,1.338454,,,,,,,,,,,,,ab9ef96e-0795-41f2-8e00-d943807cf210,18,,,"[69.3, 0.1]",3879812,0,,,,0.20877719,,,,,,"[92.9, 5.1]",,High Pass,,24.123848,,,,,Robin Quaison,8552.0,,,,,Throw-in,1,From Throw In,Giuseppe Pezzella,7792.0,Left Back,3,Palermo,2256,['e8aa4f95-94ed-4a7c-9dfa-50733a1edad4'],22,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:22.626,Pass,
,,,,,,,,,,,,,,,,2.070672,,,,,,,,,,,,,68cbfc01-ea23-4ff0-8f05-312eb642e4c0,20,,,"[92.9, 5.1]",3879812,0,,,,1.6720117,,Head,,,,"[91.6, 17.9]",,High Pass,,12.865847,,,Incomplete,,Mato Jajalo,30735.0,,,,,,1,From Throw In,Robin Quaison,8552.0,Center Attacking Midfield,3,Palermo,2256,"['0e8f4a3d-4264-4fd4-8b88-36d407b9bcab', '46a86e69-c0cf-472b-bbfb-781845cffeaf']",24,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:24.044,Pass,
