50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,33bc991c-a4c4-4e66-b18b-d6be3b32481b,1,,,,3879830,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 38312, 'name': 'Eugenio Lamanna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 7176, 'name': 'Sebastian De Maio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6894, 'name': 'Ezequiel Muñoz'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 24}, {'player': {'id': 40457, 'name': 'Giovanni Marchese'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7464, 'name': 'Cristian Daniel Ansaldi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 34}, {'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 30}, {'player': {'id': 5554, 'name': 'Blerim Džemaili'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 93}, {'player': {'id': 7022, 'name': 'Jesús Joaquín Fernández Sáez de la Torre'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8180, 'name': 'Leonardo Pavoletti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,abbd7f37-3711-4bb4-9ad5-636040f4fb3d,2,,,,3879830,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6984, 'name': ""Danilo D''Ambrosio""}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 11183, 'name': 'Alex Nicolao Telles'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 83}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 77}, {'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 44}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,06985793-a62e-4a7d-8dcd-203a00510886,3,,,,3879830,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['5c8053c2-8092-4c8d-9c24-36c67486a041'],0,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5c8053c2-8092-4c8d-9c24-36c67486a041,4,,,,3879830,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Genoa,233,['06985793-a62e-4a7d-8dcd-203a00510886'],0,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a74970e7-6b78-4ab4-b33c-68b68fb79d59,1930,,,,3879830,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,107,Genoa,233,['9b8e7cb7-a99a-4a45-9185-06dc28ffd25f'],0,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9b8e7cb7-a99a-4a45-9185-06dc28ffd25f,1931,,,,3879830,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,107,Genoa,233,['a74970e7-6b78-4ab4-b33c-68b68fb79d59'],0,,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.221797,,,,,,,,,,,,,f5a4cd3e-0ac3-47b5-9c70-4c3c456f1e55,5,,,"[61.0, 40.1]",3879830,0,,,,,2.0552742,,Right Foot,,,,"[60.0, 42.0]",,Ground Pass,,2.1470912,,,,,Mauro Emanuel Icardi Rivero,6987.0,,,,,Kick Off,1,From Kick Off,Rodrigo Sebastián Palacio,7165.0,Center Attacking Midfield,2,Inter Milan,238,['5b172d37-b731-424d-b0bf-1d171fc4ec82'],0,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.825,Pass,
,,,,,,,,,,,,,,,,,,,0.969008,,,,,,,,,,,,,6323889f-bb79-4608-804f-5edb26fc3a31,7,,,"[59.2, 41.3]",3879830,0,,,,,-3.0890095,,Right Foot,,,,"[45.9, 40.6]",,Ground Pass,,13.318408,,,,,Gary Alexis Medel Soto,16453.0,,,,,,1,From Kick Off,Mauro Emanuel Icardi Rivero,6987.0,Center Forward,2,Inter Milan,238,['ff7205b7-b3db-4786-83a0-01712981a598'],1,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:01.047,Pass,
,,,,,,,,,,,,,,,,,,,1.590557,,,,,,,,,,,,,300b4d07-63d7-4055-ac7e-4d3663d3d176,10,,,"[46.7, 42.6]",3879830,0,,,,,1.9847046,,Right Foot,,,,"[34.4, 70.6]",,Ground Pass,,30.582512,,,,,Danilo D''Ambrosio,6984.0,,,,,,1,From Kick Off,Gary Alexis Medel Soto,16453.0,Left Defensive Midfield,2,Inter Milan,238,['11de3f9d-2c72-43bd-bd08-21c15f4eb4fa'],2,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:02.911,Pass,
,,,,,,,,,,,,,,,,,,,2.69462,,,,,,,,,,,,,bb5198f0-af38-49f3-8914-0f910985963e,13,,,"[37.0, 70.6]",3879830,0,,,,,-0.17651182,,Right Foot,,,,"[89.7, 61.2]",,High Pass,,53.531765,,,Incomplete,,Rodrigo Sebastián Palacio,7165.0,,,,,,1,From Kick Off,Danilo D''Ambrosio,6984.0,Right Back,2,Inter Milan,238,"['1f39ef52-55ee-4e86-a7bb-c9a6116debcc', '806ccb1d-045a-43db-a46a-09aa50c64b45']",7,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:07.026,Pass,
