50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d0e321a-170a-4484-a78c-404a1e999a2f,1,,,3879836,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7168, 'name': 'Andrea Poli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 8668, 'name': 'Kevin-Prince Boateng'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 72}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 70}, {'player': {'id': 3371, 'name': 'Mario Barwuah Balotelli'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 45}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a31f9eba-fe21-42af-951f-011ac7a3211c,2,,,3879836,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 8662, 'name': 'Vid Belec'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 387300, 'name': 'Cristian Zaccardo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7172, 'name': 'Simone Romagnoli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 45508, 'name': 'Emanuele Suagher'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 30750, 'name': 'Stefano Sabelli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 7114, 'name': 'Gaetano Letizia'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 7460, 'name': 'Isaac Cofie'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 31273, 'name': 'Marco Crimi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 387476, 'name': 'Raphael Martinho Alves de Lima'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 8675, 'name': 'Jonathan de Guzmán'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 32608, 'name': 'Jerry Uche Mbakogu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Carpi,1683,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e7f4f867-bab1-49fd-b9cf-37ae7ea80d72,3,,,3879836,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['e0806d17-3615-468b-9e32-85122c8cc6ef'],0,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e0806d17-3615-468b-9e32-85122c8cc6ef,4,,,3879836,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['e7f4f867-bab1-49fd-b9cf-37ae7ea80d72'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c6996c74-f6f0-4926-983d-42759a4ae7fb,1847,,,3879836,45,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,84,Carpi,1683,['ab3b43be-9313-4b23-be7d-b2b683f9a62f'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ab3b43be-9313-4b23-be7d-b2b683f9a62f,1848,,,3879836,45,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,84,Carpi,1683,['c6996c74-f6f0-4926-983d-42759a4ae7fb'],0,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.750059,,,,,,,,,,,,,aa215f39-e16b-4545-a6bf-da4d5ac8fb37,5,,"[60.0, 40.0]",3879836,0,,,,-3.138084,,Right Foot,,,"[31.5, 39.9]",Ground Pass,,28.500175,,,,Alessio Romagnoli,7458.0,,,,Kick Off,1,From Kick Off,Riccardo Montolivo,7166.0,Center Defensive Midfield,2,AC Milan,243,['d455456a-678e-42b0-9231-2fa6aceba913'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.588,Pass,
,,,,,,,,,,,,,,,,,,3.184287,,,,,,,,,,,,,851a4b8d-0db3-41ea-bcdb-5afe63ee1aeb,8,,"[31.7, 40.2]",3879836,0,,,,0.56108767,,Left Foot,,,"[85.8, 74.2]",High Pass,,63.89687,,,,Kevin-Prince Boateng,8668.0,,,,,1,From Kick Off,Alessio Romagnoli,7458.0,Left Center Back,2,AC Milan,243,['b15330bf-9338-42ea-84ed-821265b503ee'],4,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:04.609,Pass,
,,,,,,,,,,,,,,,,,,1.221666,,,,,,,,,,,,,4a91e30a-677a-41ee-a53d-59ab8228cb26,10,,"[85.8, 74.2]",3879836,0,,,,-0.36542457,,Head,,,"[97.3, 69.8]",High Pass,,12.313002,,Incomplete,,Mario Barwuah Balotelli,3371.0,,,,,1,From Kick Off,Kevin-Prince Boateng,8668.0,Center Attacking Midfield,2,AC Milan,243,"['49b653f5-7608-4338-874d-e50b3dbeed9e', 'daae1de4-9b97-43bf-9494-fd4722221ed4']",7,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:07.793,Pass,
,,,,,,,,,,,,,,,,,,2.508188,,,,,,,,,,,,,daae1de4-9b97-43bf-9494-fd4722221ed4,12,,"[22.8, 10.3]",3879836,0,,,,-0.46169448,,Head,,,"[43.3, 0.1]",High Pass,,22.897379,,Out,,Gaetano Letizia,7114.0,,,,Recovery,1,From Kick Off,Emanuele Suagher,45508.0,Left Center Back,2,AC Milan,243,"['4a91e30a-677a-41ee-a53d-59ab8228cb26', '81ecd26b-29de-488d-b7b7-77f43867f850']",9,,,,,,,,,,,,,,,,,,Carpi,1683,00:00:09.015,Pass,
