50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,e72280d8-2e91-42ae-aeae-d97a80dacfb4,1,,,3879839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 6305, 'name': 'Milan Badelj'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 7139, 'name': 'Josip Iličić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 72}, {'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 7033, 'name': 'Nikola Kalinić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Fiorentina,239,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,16698cc3-6945-44f5-9222-b3745b6ebba3,2,,,3879839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 6953, 'name': 'Daniele Rugani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5541, 'name': 'Stephan Lichtsteiner'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 33}, {'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,de87fc63-e34d-44b3-b575-0c9cb3e84b46,3,,,3879839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['ac60532b-8ea5-46fa-ad3b-9b5701804e33'],0,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ac60532b-8ea5-46fa-ad3b-9b5701804e33,4,,,3879839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['de87fc63-e34d-44b3-b575-0c9cb3e84b46'],0,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,455a27e4-135a-4d8a-8ca8-64cc43bd7c8d,2151,,,3879839,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Juventus,224,['34c12b0d-e47a-475e-b5b8-b7aa24600344'],0,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,34c12b0d-e47a-475e-b5b8-b7aa24600344,2152,,,3879839,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Juventus,224,['455a27e4-135a-4d8a-8ca8-64cc43bd7c8d'],0,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.324905,,,,,,,,,,,,,,,,ee1d1a97-0d42-442c-a551-bd7d928a9b42,5,,"[60.0, 40.0]",3879839,0,,,,,1.4801364,,Right Foot,,,,"[60.1, 41.1]",,Ground Pass,,1.104536,,,,,Josip Iličić,7139.0,,,,,Kick Off,1,From Kick Off,Nikola Kalinić,7033.0,Center Forward,2,Fiorentina,239,['485d3bf3-9cf6-4264-b392-d6e273111393'],0,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.587,Pass,
,,,,,,,,,,,,,,,,,,,0.839579,,,,,,,,,,,,,,,,5117f0e1-1416-4c4d-a211-907503414a37,8,,"[60.1, 41.4]",3879839,0,,,,,-2.4204834,,Right Foot,,,,"[47.7, 30.5]",,Ground Pass,,16.509695,,,,,Borja Valero Iglesias,6997.0,,,,,,1,From Kick Off,Josip Iličić,7139.0,Center Attacking Midfield,2,Fiorentina,239,['41bfa972-ed9c-4ef7-b02e-cb96a521f4db'],1,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:01.019,Pass,
,,,,,,,,,,,,,,,,,,,1.123099,,,,,,,,,,,,,,,,fe3ea079-e946-4cb1-8800-886948cd9b07,11,,"[47.7, 30.5]",3879839,0,,,,,-1.9413404,,Right Foot,,,,"[42.3, 16.6]",,Ground Pass,,14.912076,,,,,Davide Astori,8275.0,,,,,,1,From Kick Off,Borja Valero Iglesias,6997.0,Left Defensive Midfield,2,Fiorentina,239,['f0ac3e10-5d10-49f0-be4b-a8696df6afe0'],2,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:02.950,Pass,
,,,,,,,,,,,,,,,,,,,4.84173,,,,,,,,,,,,,,,,1ff1c30e-32bd-4b9f-b4a4-40a9712e5574,14,,"[44.0, 16.5]",3879839,0,,,,,0.031827167,,Left Foot,,,,"[113.1, 18.7]",,High Pass,,69.13501,,,Incomplete,,Federico Bernardeschi,7777.0,,,,,,1,From Kick Off,Davide Astori,8275.0,Left Center Back,2,Fiorentina,239,"['8694d70c-c134-4c4a-9125-b82230604157', 'f4a1f7f8-4bbc-48f3-903b-e4f96955960b']",5,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:05.159,Pass,
