ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6e33c730-0bcb-43cb-b693-a6dc6d44973c,1,,,3879860,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 32}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 11516, 'name': 'Manuel Pasqual'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 6305, 'name': 'Milan Badelj'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 7139, 'name': 'Josip Iličić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 72}, {'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 7033, 'name': 'Nikola Kalinić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Fiorentina,239,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4e388d76-c261-45af-9ebb-4e3c72e0dc54,2,,,3879860,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 5662, 'name': 'Thiago Rangel Cionek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 12}, {'player': {'id': 40350, 'name': 'Siniša Anđelković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 31268, 'name': 'Michel Morganella'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 77}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 25954, 'name': 'Enzo Maresca'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,91c32d77-07f7-48a6-beb9-ef1ccef25fa6,3,,,3879860,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['29e5ceae-2570-4142-a4bb-744084e32613'],0,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,29e5ceae-2570-4142-a4bb-744084e32613,4,,,3879860,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['91c32d77-07f7-48a6-beb9-ef1ccef25fa6'],0,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,17ba22b8-adaa-42a7-b55e-7653e0223956,1781,,,3879860,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,91,Palermo,2256,['405794fe-7ef1-4217-bb24-2c9fc500445b'],0,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,405794fe-7ef1-4217-bb24-2c9fc500445b,1782,,,3879860,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,91,Palermo,2256,['17ba22b8-adaa-42a7-b55e-7653e0223956'],0,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.305594,,,,,,,,,,,,,72be6d7f-73f9-46ff-9195-8447f803cff3,5,,"[61.0, 40.1]",3879860,0,,,,,-1.7126933,,Right Foot,,,"[60.6, 37.3]",Ground Pass,,2.828427,,,,Alberto Gilardino,38389.0,,,,,Kick Off,1,From Kick Off,Franco Damián Vázquez,6719.0,Right Wing,2,Palermo,2256,['4f35d824-0b7f-4e55-97a1-e031241a0917'],0,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.049,Pass,
,,,,,,,,,,,,,,,,2.309485,,,,,,,,,,,,,83f01795-f9d1-4475-927a-6855aa1fb931,7,,"[60.6, 37.3]",3879860,0,,,,,2.8248925,,Left Foot,,,"[36.8, 45.1]",Ground Pass,,25.045559,,,,Giancarlo González Castro,5584.0,,,,,,1,From Kick Off,Alberto Gilardino,38389.0,Center Forward,2,Palermo,2256,['f70e2f3d-1f89-4525-bf28-6dcaf2cef6bd'],0,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.355,Pass,
,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,7ffc9c4b-89b4-4bab-9916-b1d2ed713003,10,,"[33.9, 49.7]",3879860,0,,,,,1.4724598,,Right Foot,,,"[36.1, 72.0]",Ground Pass,,22.408257,,,,Thiago Rangel Cionek,5662.0,,,,,,1,From Kick Off,Giancarlo González Castro,5584.0,Center Back,2,Palermo,2256,['4e507369-3cf7-4a2c-bc9c-54f42748f744'],3,,,,,,,,,,,,,,,,Palermo,2256,00:00:03.990,Pass,
,,,,,,,,,,,,,,,,1.872069,,,,,,,,,,,,,cca70ebc-0337-4789-85f4-07770cc90d01,13,,"[43.5, 72.7]",3879860,0,,,,,-0.4806914,,Right Foot,,,"[78.4, 54.5]",High Pass,,39.36051,,,,Franco Damián Vázquez,6719.0,,,,,,1,From Kick Off,Thiago Rangel Cionek,5662.0,Right Center Back,2,Palermo,2256,['db5d8c87-2589-4418-b050-2881528c5475'],7,,,,,,,,,,,,,,,,Palermo,2256,00:00:07.273,Pass,
