50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,232572c1-eb1b-40aa-9fa8-687ac52b7aa8,1,,,3879874,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 26683, 'name': 'Abdoulay Konko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3103, 'name': 'Milan Biševac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 8847, 'name': 'Santiago Juan Gentiletti Selak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 7107, 'name': 'Danilo Cataldi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 33311, 'name': 'Ogenyi Eddy Onazi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 87}, {'player': {'id': 3145, 'name': 'Keita Baldé Diao'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19286, 'name': 'Miroslav Klose'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d2708358-0797-4780-818d-00e5f73b7159,2,,,3879874,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 30830, 'name': 'Luca Lezzerini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 6305, 'name': 'Milan Badelj'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Fiorentina,239,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,896ea035-1563-4496-8646-84fae13222d5,3,,,3879874,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['af24c1c4-5d66-40c5-94d9-0addddb379e0'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,af24c1c4-5d66-40c5-94d9-0addddb379e0,4,,,3879874,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['896ea035-1563-4496-8646-84fae13222d5'],0,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,75cc1d48-b338-4d28-85f6-a374875ea747,1880,,,3879874,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Fiorentina,239,['be87f950-d4ac-4acf-b027-660719b13262'],0,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,be87f950-d4ac-4acf-b027-660719b13262,1881,,,3879874,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Fiorentina,239,['75cc1d48-b338-4d28-85f6-a374875ea747'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.919443,,,,,,,,,,,,,9b0bb305-9ed4-4843-a1c8-a2a66836edd8,5,,"[60.0, 40.0]",3879874,0,,,,,-2.9488919,,Right Foot,,,"[43.6, 36.8]",,Ground Pass,,16.709278,,,,Danilo Cataldi,7107.0,,,,,Kick Off,1,From Kick Off,Antonio Candreva,7776.0,Right Wing,2,Lazio,236,['f9ac78aa-9138-4964-b6c2-99f36a11b3ca'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.571,Pass,
,,,,,,,,,,,,,,,,1.497741,,,,,,,,,,,,,48416569-5d0f-4217-888e-ff7ac2baf4de,8,,"[48.1, 30.9]",3879874,0,,,,,2.2168593,,Right Foot,,,"[34.0, 49.6]",,Ground Pass,,23.420076,,,,Milan Biševac,3103.0,,,,,,1,From Kick Off,Danilo Cataldi,7107.0,Center Defensive Midfield,2,Lazio,236,['7799edc8-5992-4535-bd02-05edda78eca5'],5,,,,,,,,,,,,,,,,Lazio,236,00:00:05.090,Pass,
,,,,,,,,,,,,,,,,1.227526,,,,,,,,,,,,,f9de9147-0fda-45a5-b284-4924b934aeb9,11,,"[41.6, 63.3]",3879874,0,,,,,0.38526446,,Right Foot,,,"[63.3, 72.1]",,Ground Pass,,23.416447,,,,Abdoulay Konko,26683.0,,,,,,1,From Kick Off,Milan Biševac,3103.0,Right Center Back,2,Lazio,236,['c076472e-4419-4e2b-a5e8-79d6a7498d15'],8,,,,,,,,,,,,,,,,Lazio,236,00:00:08.461,Pass,
,,,,,,,,,,,,,,,,1.1433,,,,,,,,,,,,,f29ad3cf-ce82-4cfb-b961-7a3457ec5f53,14,,"[55.7, 71.3]",3879874,0,,,,,-2.9863307,,Left Foot,,,"[44.2, 69.5]",,Ground Pass,,11.6400175,,,,Milan Biševac,3103.0,,,,,,1,From Kick Off,Abdoulay Konko,26683.0,Right Back,2,Lazio,236,['852b8d8f-637b-43c4-a6ca-56fd543368b8'],11,,,,,,,,,,,,,,,,Lazio,236,00:00:11.378,Pass,
