bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7378b46a-35b7-441b-9692-fc12d9bf1c16,1,,,,3788755,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 30357, 'name': 'Uğurcan Çakır'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 10349, 'name': 'Mehmet Zeki Çelik'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 12293, 'name': 'Kaan Ayhan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 8963, 'name': 'Caglar Söyüncü'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 31042, 'name': 'Cengiz Umut Meraş'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 12555, 'name': 'Okay Yokuşlu'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6971, 'name': 'Cengiz Ünder'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 11088, 'name': 'Ozan Tufan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 11086, 'name': 'Burak Yılmaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Turkey,909,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b2c96914-2937-47e4-b673-f8dc026fc45b,2,,,,3788755,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 9914, 'name': 'Danny Ward'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 4774, 'name': 'Connor Roberts'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 4767, 'name': 'Chris Mepham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 11250, 'name': 'Joe Rodon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 11252, 'name': 'Daniel James'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 22074, 'name': 'Joseff Morrell'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3853, 'name': 'Kieffer Roberto Francisco Moore'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Wales,907,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,88c88c87-1fce-4100-8164-bf612a36ac6a,3,,,,3788755,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,['2d3164e4-8656-4c21-8843-3a6de5abe59f'],0,,,,,,,,,,,,,,,,,,Wales,907,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2d3164e4-8656-4c21-8843-3a6de5abe59f,4,,,,3788755,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,['88c88c87-1fce-4100-8164-bf612a36ac6a'],0,,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,85c76dc4-41f4-4e99-8924-f4f820961860,1721,,,,3788755,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Turkey,909,['b119820d-675b-4c38-8b92-ecec7f946447'],0,,,,,,,,,,,,,,,,,,Wales,907,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b119820d-675b-4c38-8b92-ecec7f946447,1722,,,,3788755,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Turkey,909,['85c76dc4-41f4-4e99-8924-f4f820961860'],0,,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.930997,,,,,,,,,,,,,,,98bcfddf-1d46-4577-95f5-9fb3e83f4029,5,,,"[61.0, 40.1]",3788755,0,,,,,-2.704298,,Right Foot,,,"[36.4, 28.6]",,Ground Pass,,27.155294,,,Chris Mepham,4767.0,,,,,,Kick Off,1,From Kick Off,Aaron Ramsey,3517.0,Left Center Midfield,2,Wales,907,['e2b3a4e8-af3d-4edd-b718-b08fff2682ba'],0,,,,,,,,,,,,,,,,,,Wales,907,00:00:00.329,Pass,
,,,,,,,,,,,,,,,3.253397,,,,,,,,,,,,,,,0648ccec-cbba-48b7-b592-3422e8af0556,8,,,"[36.1, 29.7]",3788755,0,,,,,-0.52955353,,Right Foot,,,"[86.5, 0.2]",,High Pass,,58.398716,Out,,Kieffer Roberto Francisco Moore,3853.0,,,,,,,1,From Kick Off,Chris Mepham,4767.0,Right Center Back,2,Wales,907,['afc310e0-8ef4-46d8-ab43-d9296bde1ab4'],3,,,,,,,,,,,,,,,,,,Wales,907,00:00:03.240,Pass,
,,,,,,,,,,,,,,,1.590904,,,,,,,,,,,,,,,44d1729c-7145-4641-8313-13240eaa8ae6,10,,,"[34.4, 80.0]",3788755,0,,,,,-2.519121,,,,,"[17.4, 67.8]",,Low Pass,,20.924627,,,Kaan Ayhan,12293.0,,,,,,Throw-in,1,From Throw In,Mehmet Zeki Çelik,10349.0,Right Back,3,Turkey,909,['b392f3b1-d7e3-43b1-b98e-2d6128d74245'],14,,,,,,,,,,,,,,,,,,Turkey,909,00:00:14.932,Pass,
,,,,,,,,,,,,,,,2.358119,,,,,,,,,,,,,,,bd78f4d9-3ae9-45b6-92e2-2bca7d799aec,12,,,"[17.4, 67.8]",3788755,0,,True,,,1.7083831,,Right Foot,,,"[16.5, 74.3]",,Ground Pass,,6.5620117,,,Mehmet Zeki Çelik,10349.0,,,,,,,1,From Throw In,Kaan Ayhan,12293.0,Right Center Back,3,Turkey,909,['b6442e36-e813-4f50-8739-1a0566d7b56b'],19,,,,,,,,,,,,,,,,,,Turkey,909,00:00:19.230,Pass,
,,,,,,,,,,,,,,,0.623715,,,,,,,,,,,,,,,7d3238eb-e543-4a3c-b0f8-6e16413e5129,14,,,"[18.0, 75.2]",3788755,0,,,,,-1.0761851,,Right Foot,,,"[22.8, 66.3]",,Ground Pass,,10.111875,,,Okay Yokuşlu,12555.0,,,,,,,1,From Throw In,Mehmet Zeki Çelik,10349.0,Right Back,3,Turkey,909,['9a4e12e0-9e9d-497b-b0ed-629c4ce3f9b6'],21,,,,,,,,,,,,,,,,,,Turkey,909,00:00:21.588,Pass,
,,,,,,,,,,,,,,,1.215502,,,,,,,,,,,,,,,278a089d-4220-46eb-abcc-1bbe2f86891e,28,,,"[29.2, 49.1]",3788755,0,,,,,1.6030432,,Right Foot,,,"[28.9, 58.4]",,Ground Pass,,9.304837,,,Okay Yokuşlu,12555.0,,,,,,,1,From Throw In,Hakan Çalhanoğlu,7039.0,Left Center Midfield,3,Turkey,909,['de3e75ab-a91b-478c-bb27-9049c84f9a14'],26,,,,,,,,,,,,,,,,,,Turkey,909,00:00:26.988,Pass,
,,,,,,,,,,,,,,,0.993996,,,,,,,,,,,,,,,c87febc1-b6b2-42b9-988e-bf14d0a2f23d,32,,,"[28.9, 61.2]",3788755,0,,,,,1.1603899,,Left Foot,,,"[34.6, 74.3]",,Ground Pass,,14.286357,,,Cengiz Ünder,6971.0,,,,,,,1,From Throw In,Okay Yokuşlu,12555.0,Center Defensive Midfield,3,Turkey,909,"['103c72e2-e06a-44b4-abf3-d7abb08f0354', '1a69c175-47f6-4ed6-bc6a-b10c675f0fa1']",28,,,,,,,,,,,,,,,,,,Turkey,909,00:00:28.360,Pass,True
,,,,,,,,,,,,,,,1.145723,,,,,,,,,,,,,,,d5b3c5d4-b8d4-4c0c-9ac4-288f5b5a1027,41,,,"[41.0, 73.0]",3788755,0,,,,,2.772259,,Right Foot,,,"[34.8, 75.4]",,Ground Pass,,6.6483083,,,Mehmet Zeki Çelik,10349.0,,,,,,,1,From Throw In,Cengiz Ünder,6971.0,Right Midfield,3,Turkey,909,['f50cf8da-c263-47a4-af50-02d05bbd7596'],31,,,,,,,,,,,,,,,,,,Turkey,909,00:00:31.407,Pass,
,,,,,,,,,,,,,,,2.98819,,,,,,,,,,,,,,,e28f804f-a65f-42d9-9840-962bbe795059,44,,,"[33.6, 74.6]",3788755,0,,,,,-0.21616943,,Right Foot,,,"[88.7, 62.5]",,High Pass,,56.41294,,,Burak Yılmaz,11086.0,,,,Through Ball,True,,1,From Throw In,Mehmet Zeki Çelik,10349.0,Right Back,3,Turkey,909,"['44ad5422-58d1-4cdb-a6ca-2e248d76e969', '7e1b92f5-4cd8-4a3b-9a92-ff11e12c542c']",32,,,,,,,,,,,,,,,,,,Turkey,909,00:00:32.553,Pass,True
,,,,,,,,,,,,,,,1.857207,,,,,,,,,,,,,,,9aeceb6b-f229-42aa-97f8-a78b1214f9a2,47,,,"[109.6, 72.5]",3788755,0,,,,,-1.7845615,,Right Foot,True,,"[103.5, 44.4]",,Ground Pass,,28.754478,Incomplete,,Kenan Karaman,8541.0,,,,,,,1,From Throw In,Burak Yılmaz,11086.0,Center Forward,3,Turkey,909,"['976847b8-852d-461b-809f-e5536868ac74', 'e9bb401e-6e53-4b80-8edc-56ef0384a221']",39,,,,,,,,,,,,,,,,,,Turkey,909,00:00:39.206,Pass,
,,,,,,,,,,,,,,,0.942351,,,,,,,,,,,,,,,ced9f545-2e02-4ec4-842d-e70583fe0a7d,50,,,"[27.0, 14.8]",3788755,0,,,,,0.12326567,,Head,,,"[38.3, 16.2]",,Low Pass,,11.386395,,,Aaron Ramsey,3517.0,,,,,,Recovery,1,Regular Play,Ben Davies,3086.0,Left Back,4,Wales,907,['d034136f-fbd9-4fef-b231-f65ab00c638b'],43,,,,,,,,,,,,,,,,,,Wales,907,00:00:43.134,Pass,
,,,,,,,,,,,,,,,1.437969,,,,,,,,,,,,,,,4b416239-2d6f-4644-ac0c-550efa9d1fe1,54,,,"[72.7, 74.9]",3788755,0,,,,,0.0,,Right Foot,,,"[76.8, 74.9]",,Low Pass,,4.1,Incomplete,,Cengiz Ünder,6971.0,,,,,,Recovery,1,Regular Play,Mehmet Zeki Çelik,10349.0,Right Back,4,Wales,907,"['99641756-03c5-4142-89a3-42460254988c', 'ce99f9f0-f271-426e-9794-0435864d68b6', 'fadefd1c-18d7-44de-86b2-cccfa89e078e']",46,,,,,,,,,,,,,,,,,,Turkey,909,00:00:46.438,Pass,True
,,,,,,,,,,,,,,,0.894017,,,,,,,,,,,,,,,b34f7f88-a99b-4aff-893d-087180ec905c,59,,,"[45.0, 6.5]",3788755,0,,,,,2.9816794,,Right Foot,,,"[32.6, 8.5]",,Low Pass,,12.560255,,,Ben Davies,3086.0,,,,,,,1,Regular Play,Aaron Ramsey,3517.0,Left Center Midfield,4,Wales,907,['ac07eace-64f0-4824-a738-81a14f97ee93'],48,,,,,,,,,,,,,,,,,,Wales,907,00:00:48.435,Pass,
