50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,20ee8498-43d4-4153-b569-a5c7575adabe,1,,,3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal Women's,864,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 34872, 'name': 'Inês Teixeira Pereira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 62905, 'name': 'Catarina Amado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 32143, 'name': 'Diana Catarina Ribeiro Gomes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 10162, 'name': 'Carole da Silva Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 45144, 'name': 'Joana Filipa Gaspar Silva Marchão'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 10140, 'name': 'Dolores Isabel Jacome Silva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10167, 'name': 'Tatiana Vanessa Ferreira Pinto'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 34875, 'name': 'Andreia Alexandra Norton'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10159, 'name': 'Diana Micaela Abreu de Sousa e Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 32054, 'name': 'Jéssica da Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 10141, 'name': 'Ana Borges'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Portugal Women's,864,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,86998e2b-0274-46a9-b1a9-5414e2bed806,2,,,3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal Women's,864,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 10400, 'name': 'Gaëlle Thalmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 10417, 'name': 'Viola Calligaris'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 10416, 'name': 'Rahel Kiwic'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 10407, 'name': 'Eseosa Aigbogun'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 63073, 'name': 'Sandy Mändly'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 10419, 'name': 'Géraldine Reuteler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 31630, 'name': 'Coumba Sow'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Switzerland Women's,860,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d1aff8a0-f652-44ba-904a-e21819c72677,3,,,3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal Women's,864,['0668af57-3570-47c0-a7bb-6815eb648e2b'],0,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0668af57-3570-47c0-a7bb-6815eb648e2b,4,,,3835323,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal Women's,864,['d1aff8a0-f652-44ba-904a-e21819c72677'],0,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,36f6ee08-4419-4c99-9eec-f65180aea264,1779,,,3835323,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Portugal Women's,864,['36eeb60b-a863-41b3-9868-042d7e570e86'],0,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,36eeb60b-a863-41b3-9868-042d7e570e86,1780,,,3835323,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,96,Portugal Women's,864,['36f6ee08-4419-4c99-9eec-f65180aea264'],0,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.226419,,,,,,,,,,,,793b4827-fc31-4cdf-af6a-59a635dfe24c,5,,"[61.0, 40.1]",3835323,0,,,,,-2.9241552,,Right Foot,,,,"[52.4, 38.2]",,Ground Pass,,8.807384,,,,Sandy Mändly,63073.0,,,,,Kick Off,1,From Kick Off,Ramona Bachmann,4659.0,Center Forward,2,Switzerland Women's,860,['7761a0b4-b8fb-43e5-9d79-3953fa0ee716'],0,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.382,Pass,
,,,,,,,,,,,,,,,,,,,2.777142,,,,,,,,,,,,49ad9efd-92c4-4975-acdf-2db3470d5a8d,7,,"[53.6, 40.8]",3835323,0,,,,,0.76055855,,Left Foot,,,,"[86.6, 72.2]",,High Pass,,45.551727,,Incomplete,,Ana-Maria Crnogorčević,10408.0,,,,,,1,From Kick Off,Sandy Mändly,63073.0,Left Defensive Midfield,2,Switzerland Women's,860,"['e4f4a21a-b75d-4ea9-b7e3-e31cfcbea7b4', 'fe2f07de-0021-474d-aa17-b7a910c77c59']",1,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:01.609,Pass,
,,,,,,,,,,,,,,,,,,,2.753823,,,,,,,,,,,,fe2f07de-0021-474d-aa17-b7a910c77c59,9,,"[33.5, 7.9]",3835323,0,,,,,-0.6041628,,Head,,,,"[44.8, 0.1]",,High Pass,,13.730622,,Out,,Ana Borges,10141.0,,,,,Recovery,1,From Kick Off,Joana Filipa Gaspar Silva Marchão,45144.0,Left Back,2,Switzerland Women's,860,"['49ad9efd-92c4-4975-acdf-2db3470d5a8d', '6c58e067-bb2c-4282-8f01-3e3cf3ac93fe']",4,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:04.386,Pass,
,,,,,,,,,,,,,,,,,,,0.708565,,,,,,,,,,,,a05d4ca3-7d44-4582-b11a-a51f0de17832,11,,"[78.3, 80.0]",3835323,0,,,,,-0.45577377,,,,,,"[88.5, 75.0]",,Low Pass,,11.359577,,,,Ramona Bachmann,4659.0,,,,,Throw-in,1,From Throw In,Noelle Maritz,10404.0,Right Back,3,Switzerland Women's,860,['a8e37719-639f-4bf6-b65b-c1faa02c7370'],14,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:14.609,Pass,
