50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b0e6ec1c-3074-4fb8-b014-b225d2cddc67,1,,,,3998846,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal Women's,864,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 10145, 'name': 'Patricia Isabel Sousa Barros Morais'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 10141, 'name': 'Ana Borges'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 9}, {'player': {'id': 32143, 'name': 'Diana Catarina Ribeiro Gomes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 10162, 'name': 'Carole da Silva Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 45144, 'name': 'Joana Filipa Gaspar Silva Marchão'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 34873, 'name': 'Fátima Alexandra Figueira Pinto'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 34875, 'name': 'Andreia Alexandra Norton'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10167, 'name': 'Tatiana Vanessa Ferreira Pinto'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 62913, 'name': 'Francisca Ramos Ribeiro Nazareth Sousa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 402132, 'name': 'Ana Ines Palma Capeta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 10159, 'name': 'Diana Micaela Abreu de Sousa e Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Portugal Women's,864,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9bbfaa59-abe3-4c44-baeb-f4131a8485ba,2,,,,3998846,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal Women's,864,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 10218, 'name': 'Laura Giuliani'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 49972, 'name': 'Martina Lenzini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 10370, 'name': 'Cecilia Salvai'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 46224, 'name': 'Lucia Di Guglielmo'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 25770, 'name': 'Lisa Boattin'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 32162, 'name': 'Arianna Caruso'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 49695, 'name': 'Emma Severini'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 45638, 'name': 'Sofia Cantore'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 10203, 'name': 'Cristiana Girelli'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Italy Women's,855,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,349f2d09-c84f-45b5-8387-e03f3f573365,3,,,,3998846,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal Women's,864,['93ca2556-3caf-433c-ba8d-81c222668dae'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,93ca2556-3caf-433c-ba8d-81c222668dae,4,,,,3998846,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal Women's,864,['349f2d09-c84f-45b5-8387-e03f3f573365'],0,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e9b3ab52-70f8-4173-b2d5-b97f56084865,1482,,,,3998846,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,94,Portugal Women's,864,['f48fbb5a-1f9c-4b01-962c-a79d61ae93f6'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f48fbb5a-1f9c-4b01-962c-a79d61ae93f6,1483,,,,3998846,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,94,Portugal Women's,864,['e9b3ab52-70f8-4173-b2d5-b97f56084865'],0,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.203383,,,,,,,,,,,,,,1d2d8f89-a72d-4a77-88df-32bfc47382e9,5,,,"[61.0, 40.1]",3998846,0,,,,-2.9648838,,Right Foot,,,,"[49.8, 38.1]",,Ground Pass,,11.377171,,,Manuela Giugliano,10228.0,,,,,Kick Off,1,From Kick Off,Cristiana Girelli,10203.0,Left Center Forward,2,Italy Women's,855,['cd412879-3a35-4161-9df8-bf5d775dc63a'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.583,Pass,
,,,,,,,,,,,,,,,,,2.312493,,,,,,,,,,,,,,7426d9bf-5e26-4b1e-a010-fc606c78a498,8,,,"[48.3, 39.9]",3998846,0,,,,1.7215769,,Right Foot,,,,"[42.8, 76.1]",,Ground Pass,,36.615433,,,Martina Lenzini,49972.0,,,,,,1,From Kick Off,Manuela Giugliano,10228.0,Center Defensive Midfield,2,Italy Women's,855,['9392e8c7-c22b-407b-9880-b93c62e4effc'],2,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:02.289,Pass,
,,,,,,,,,,,,,,,,,1.432477,,,,,,,,,,,,,,68fb2464-e7a7-4560-901e-2b368052e865,11,,,"[47.5, 76.8]",3998846,0,,,,0.14189705,,Right Foot,,,,"[62.9, 79.0]",,Ground Pass,,15.556349,,,Arianna Caruso,32162.0,,,,,,1,From Kick Off,Martina Lenzini,49972.0,Right Center Back,2,Italy Women's,855,['aacdb564-256b-4f3f-94d9-6feeb5bb479c'],5,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:05.525,Pass,
,,,,,,,,,,,,,,,,,2.446013,,,,,,,,,,,,,,abb8839d-d627-4763-9543-33a9ed2dbe2b,19,,,"[70.5, 78.2]",3998846,1,,,,-0.7109504,,Right Foot,,,,"[109.4, 44.7]",,High Pass,,51.33673,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Manuela Giugliano,10228.0,Center Defensive Midfield,3,Italy Women's,855,['21785f8b-e141-4c6c-ace6-18e2ee84bd88'],9,,,,,,,,,,,,,,,,,Italy Women's,855,00:01:09.558,Pass,
