ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,316771a0-88a2-4cb2-88e4-6d0b38435da9,1,,,,22948,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10129, 'name': 'Sarah Bouhaddi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 25446, 'name': 'Marion Torrent'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 10271, 'name': 'Griedge Mbock Bathy Nka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 10125, 'name': 'Wendie Renard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15249, 'name': 'Amel Majri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 10}, {'player': {'id': 10114, 'name': 'Elise Bussaglia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 10123, 'name': 'Amandine Henry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 10137, 'name': 'Kadidiatou Diani'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 10121, 'name': 'Eugénie Le Sommer'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 25442, 'name': 'Valérie Gauvin'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 10113, 'name': 'Gaëtane Thiney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",France Women's,861,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,277921e3-45a2-4683-9448-b70e0ac722c2,2,,,,22948,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10394, 'name': 'Ingrid Hjelmseth'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4636, 'name': 'Maria Thorisdottir'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 10393, 'name': 'Kristine Minde'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 25728, 'name': 'Karina Sævik'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 25466, 'name': 'Vilde Bøe Risa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 24374, 'name': 'Ingrid Syrstad Engen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 10386, 'name': 'Caroline Graham Hansen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 13479, 'name': 'Isabell Herlovsen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Norway Women's,852,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e996a1a2-eb2e-4c0b-95ba-5208bc0e0088,3,,,,22948,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,['115c5f3e-60a0-4e3c-9e22-883011a8197e'],0,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,115c5f3e-60a0-4e3c-9e22-883011a8197e,4,,,,22948,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,['e996a1a2-eb2e-4c0b-95ba-5208bc0e0088'],0,,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,958efaa2-b75b-40f1-b8a1-0322088ed416,1554,,,,22948,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Norway Women's,852,['5b76fe0b-89c9-4c98-bae9-242bbc8372bd'],0,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5b76fe0b-89c9-4c98-bae9-242bbc8372bd,1555,,,,22948,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Norway Women's,852,['958efaa2-b75b-40f1-b8a1-0322088ed416'],0,,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,1.434591,,,,,,,,,,,,,,,4f4f5d3f-0bdb-48a1-b777-8d32cce64cff,5,,,"[60.0, 40.0]",22948,0,,,,,-3.1286063,,Right Foot,,,"[52.3, 39.9]",,Ground Pass,,7.7006493,,,Amandine Henry,10123.0,,,,,,Kick Off,1,From Kick Off,Kadidiatou Diani,10137.0,Right Midfield,2,France Women's,861,['8b036e04-c23e-4297-a199-349c3f6ad5cb'],0,,,,,,,,,,,,,,,,,France Women's,861,00:00:00.787,Pass,
,,,,,,,,,,,,,3.1785,,,,,,,,,,,,,,,ca22c38b-a87a-4132-b808-dd00256e139e,8,,,"[50.9, 40.4]",22948,0,,,,,-0.3771792,,Right Foot,,,"[97.6, 21.9]",,High Pass,,50.230865,Incomplete,,Eugénie Le Sommer,10121.0,,,,,,,1,From Kick Off,Amandine Henry,10123.0,Left Defensive Midfield,2,France Women's,861,"['2b7c17a8-b0f5-45ca-81ed-9bc7f1fe0dc1', 'd9deb415-eb96-4a32-accf-aa23caf46cad']",2,,,,,,,,,,,,,,,,,France Women's,861,00:00:02.533,Pass,
,,,,,,,,,,,,,1.411875,,,,,,,,,,,,,,,c4b7aff6-8a96-4442-b99c-986ea455f58b,12,,,"[85.3, 19.2]",22948,0,,,,True,-0.5216183,,,,,"[94.0, 14.2]",,High Pass,,10.034441,Unknown,,Eugénie Le Sommer,10121.0,,,,,,Recovery,1,From Kick Off,Gaëtane Thiney,10113.0,Left Center Forward,2,France Women's,861,"['655951d9-e01c-4cac-ab51-12e84fe944e3', '82850c95-dba5-4582-ad93-4de13b2f69c3']",7,,,,,,,,,,,,,,,,,France Women's,861,00:00:07.040,Pass,True
,,,,,,,,,,,,,2.308159,,,,,,,,,,,,,,,0eea07b1-f106-4526-9e64-5b124af646e9,16,,,"[91.2, 14.2]",22948,0,,,,,0.8870206,606b8870-8336-4b39-ac69-b16322e4fc1a,Right Foot,True,,"[118.5, 47.7]",,Low Pass,,43.215042,,,Amandine Henry,10123.0,True,,,,,Free Kick,1,From Free Kick,Eugénie Le Sommer,10121.0,Left Midfield,3,France Women's,861,['4b2979b6-0eba-4dc3-afcd-5f139e490f63'],53,,,,,,,,,,,,,,,,,France Women's,861,00:00:53.732,Pass,
,,,,,,,,,,,,,1.464343,,,,,,,,,,,,,,,425a2829-ea66-4eeb-b57a-6a765c6dd2f1,20,,,"[7.0, 44.1]",22948,1,,,,,1.0139848,,Left Foot,,,"[16.4, 59.2]",,Ground Pass,,17.786793,,,Maren Nævdal Mjelde,10395.0,,,,,,Goal Kick,1,From Goal Kick,Ingrid Hjelmseth,10394.0,Goalkeeper,4,Norway Women's,852,['f4f75f9e-474d-4799-8c64-0a8243bdcb4e'],4,,,,,,,,,,,,,,,,,Norway Women's,852,00:01:04.654,Pass,
,,,,,,,,,,,,,0.946692,,,,,,,,,,,,,,,135e3460-3dbf-46ab-ab18-9174c51f1948,23,,,"[20.2, 58.8]",22948,1,,,,,0.075328894,,Right Foot,,,"[30.8, 59.6]",,Ground Pass,,10.630146,,,Vilde Bøe Risa,25466.0,,,,,,,1,From Goal Kick,Maren Nævdal Mjelde,10395.0,Right Center Back,4,Norway Women's,852,['f778e6b3-e1f7-4459-b605-230c4cee88ab'],9,,,,,,,,,,,,,,,,,Norway Women's,852,00:01:09.037,Pass,
,,,,,,,,,,,,,0.681678,,,,,,,,,,,,,,,692c1024-4094-4f75-ae14-f9797131ee39,26,,,"[30.1, 59.8]",22948,1,,,,,2.8744502,,Right Foot,,,"[20.6, 62.4]",,Ground Pass,,9.849365,,,Maren Nævdal Mjelde,10395.0,,,,,,,1,From Goal Kick,Vilde Bøe Risa,25466.0,Right Center Midfield,4,Norway Women's,852,['710e9f2a-d1de-4fef-b910-0e841e3bbb7b'],10,,,,,,,,,,,,,,,,,Norway Women's,852,00:01:10.264,Pass,
,,,,,,,,,,,,,2.069443,,,,,,,,,,,,,,,915059aa-aaa6-4a05-90df-a4bd316a093a,29,,,"[27.4, 51.7]",22948,1,,,,,-1.5004898,,Right Foot,,,"[28.9, 30.4]",,Ground Pass,,21.35275,,,Maria Thorisdottir,4636.0,,,,,,,1,From Goal Kick,Maren Nævdal Mjelde,10395.0,Right Center Back,4,Norway Women's,852,['fbbdfd28-2834-44b5-ad42-c4453ba0abf8'],13,,,,,,,,,,,,,,,,,Norway Women's,852,00:01:13.309,Pass,
