50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,83a8b906-c820-4c41-85c9-69a0d2eb56da,1,,,3893832,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Jamaica Women's,1212,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 402176, 'name': 'Tiernny Arlene Wiltshire'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 25545, 'name': 'Allyson Swaby'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 25558, 'name': 'Chantelle Swaby'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25557, 'name': 'Deneisha Selena Blackwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25546, 'name': 'Cheyna Lee Matthews'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 25538, 'name': 'Jody Brown'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 327719, 'name': 'Atlanta Reigan Primus'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 25554, 'name': 'Khadija Monifa Shaw'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Jamaica Women's,1212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b218865c-6f32-471d-8b3b-ea56acd6684b,2,,,3893832,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Jamaica Women's,1212,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 131581, 'name': 'Letícia Izidoro Lima da Silva'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 50003, 'name': 'Antonia Ronnycleide da Costa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25556, 'name': 'Kathellen Sousa Feitoza'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 131570, 'name': 'Rafaelle Leone Carvalho Souza'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25559, 'name': 'Tamires Cássia Dias de Britto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 105708, 'name': 'Kerolin Nicoli Israel Ferraz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 25743, 'name': 'Luana Bertolucci Paixão'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 389488, 'name': 'Ariadina Alves Borges'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 389489, 'name': 'Adriana Leal da Silva'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 5082, 'name': 'Marta Vieira da Silva Veiga'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Brazil Women's,1203,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d854e0ac-bb75-4b9f-b564-a1e7c24f3d3a,3,,,3893832,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Jamaica Women's,1212,['b74f7dca-263b-41e5-87f5-f408fb222ec5'],0,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b74f7dca-263b-41e5-87f5-f408fb222ec5,4,,,3893832,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Jamaica Women's,1212,['d854e0ac-bb75-4b9f-b564-a1e7c24f3d3a'],0,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,273aee22-c621-4251-9e48-068a80a53559,1845,,,3893832,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Brazil Women's,1203,['ad2431bf-5125-43d7-9a55-fd078730fae0'],0,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ad2431bf-5125-43d7-9a55-fd078730fae0,1846,,,3893832,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Brazil Women's,1203,['273aee22-c621-4251-9e48-068a80a53559'],0,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.333216,,,,,,,,,,,1aec40c5-867e-4890-ad98-4799285b26b7,5,,"[60.0, 40.0]",3893832,0,,,,,-3.0316088,,Left Foot,,,,"[43.7, 38.2]",Ground Pass,,16.399086,,,Rafaelle Leone Carvalho Souza,131570.0,,,,,Kick Off,1,From Kick Off,Marta Vieira da Silva Veiga,5082.0,Right Center Forward,2,Brazil Women's,1203,['790c0741-1e00-4b31-9696-26af2df236ed'],1,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:01.615,Pass,
,,,,,,,,,,,,,,,,,,2.946592,,,,,,,,,,,b88bf0b3-14a3-4cb6-8c9f-3e11a518aa2c,8,,"[43.9, 38.9]",3893832,0,,,,,0.70443267,,Left Foot,,,,"[91.2, 79.1]",High Pass,,62.075195,,Out,,,,True,,,,1,From Kick Off,Rafaelle Leone Carvalho Souza,131570.0,Left Center Back,2,Brazil Women's,1203,,4,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:04.216,Pass,
,,,,,,,,,,,,,,,,,,1.517152,,,,,,,,,,,4e4413c5-ebb9-4fa9-95f7-6990c4f2ffa9,9,,"[30.6, 0.1]",3893832,0,,,,,0.465718,,,,,,"[49.9, 9.8]",High Pass,,21.600464,,Incomplete,Khadija Monifa Shaw,25554.0,,,,,Throw-in,1,From Throw In,Deneisha Selena Blackwood,25557.0,Left Back,3,Jamaica Women's,1212,"['31f7c371-cd43-49c5-aa86-7d9e2b84e3f6', '6821f968-883d-46b0-b85f-4f2f5375979c']",16,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:16.958,Pass,
,,,,,,,,,,,,,,,,,,1.601641,,,,,,,,,,,6821f968-883d-46b0-b85f-4f2f5375979c,11,,"[70.2, 70.3]",3893832,0,,,,,-2.8065686,,Head,,,,"[56.7, 65.6]",Low Pass,,14.294754,,,Rafaelle Leone Carvalho Souza,131570.0,,,,,Recovery,1,From Throw In,Antonia Ronnycleide da Costa Silva,50003.0,Right Back,3,Jamaica Women's,1212,"['3e2b1828-2bf7-4512-8f84-06a9471595b6', '4e4413c5-ebb9-4fa9-95f7-6990c4f2ffa9']",18,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:18.475,Pass,
