50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,be648316-da09-4e0d-937a-3dfb473bffc3,1,,,3901734,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan Women's,1210,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 25627, 'name': 'Ayaka Yamashita'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 401926, 'name': 'Hana Takahashi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 15257, 'name': 'Saki Kumagai'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 25638, 'name': 'Moeka Minami'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25624, 'name': 'Risa Shimizu'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 25608, 'name': 'Jun Endo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 13}, {'player': {'id': 25632, 'name': 'Yui Hasegawa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 299860, 'name': 'Fuka Nagano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 401925, 'name': 'Aoba Fujino'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 401932, 'name': 'Hinata Miyazawa'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 85500, 'name': 'Mina Tanaka'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Japan Women's,1210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,94005a7d-fb97-493e-95b7-d680c8eba4d6,2,,,3901734,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan Women's,1210,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 36800, 'name': 'Aurora Watten Mikalsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 276303, 'name': 'Thea Bjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 401645, 'name': 'Mathilde Hauge Harviken'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 276288, 'name': 'Tuva Hansen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 24374, 'name': 'Ingrid Syrstad Engen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 10386, 'name': 'Caroline Graham Hansen'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 25466, 'name': 'Vilde Bøe Risa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 10392, 'name': 'Emilie Haavi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 24706, 'name': 'Sophie Roman Haug'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Norway Women's,852,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8462c719-28bb-4ab9-8967-d140c0583926,3,,,3901734,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan Women's,1210,['184739ac-caaa-4fcb-bb01-9763891bd8b2'],0,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,184739ac-caaa-4fcb-bb01-9763891bd8b2,4,,,3901734,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan Women's,1210,['8462c719-28bb-4ab9-8967-d140c0583926'],0,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6065d88d-33e0-4fbc-a548-60ee0618b733,1846,,,3901734,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,74,Norway Women's,852,['49596c3f-1a8a-4940-93a4-5c75953e38a3'],0,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,49596c3f-1a8a-4940-93a4-5c75953e38a3,1847,,,3901734,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,74,Norway Women's,852,['6065d88d-33e0-4fbc-a548-60ee0618b733'],0,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,2.695777,,,,,,,,,,,,db1c7380-fc1a-4e8c-9573-895e947b1d48,5,,"[60.0, 40.0]",3901734,0,,,,,-2.9431078,,Right Foot,,,"[24.7, 32.9]",,Ground Pass,,36.006943,,,,Ayaka Yamashita,25627.0,,,,,Kick Off,1,From Kick Off,Aoba Fujino,401925.0,Right Attacking Midfield,2,Japan Women's,1210,['c4fd0c54-6363-441a-8bfa-1abf6ce5efca'],0,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:00.596,Pass,
,,,,,,,,,,,,,,3.060708,,,,,,,,,,,,487ff8b0-fb26-42ad-bd7a-38d368c481b4,8,,"[31.1, 30.6]",3901734,0,,,,,-0.34699216,,Left Foot,,,"[85.3, 11.0]",,High Pass,,57.63506,,,,Mina Tanaka,85500.0,,,,,,1,From Kick Off,Ayaka Yamashita,25627.0,Goalkeeper,2,Japan Women's,1210,['df5fece2-45b8-46ef-9c73-32f20379547c'],8,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:08.918,Pass,
,,,,,,,,,,,,,,1.446954,,,,,,,,,,,,21217e9e-97d6-401a-b5ea-ba2cd0ebcb91,10,,"[85.3, 10.8]",3901734,0,,,,True,0.69620454,,,,,"[92.0, 16.4]",,Low Pass,,8.732124,,,Incomplete,Hinata Miyazawa,401932.0,,,,,,1,From Kick Off,Mina Tanaka,85500.0,Center Forward,2,Japan Women's,1210,"['1cce1f7e-b5b2-416b-be8f-1a4eb71dbce9', 'a10c078a-01ba-4c4e-bfd4-21183c4122b1', 'f272b2a6-aa5f-4184-a50c-3d7ced8f4fc4']",12,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:12.018,Pass,True
,,,,,,,,,,,,,,0.974978,,,,,,,,,,,,1cce1f7e-b5b2-416b-be8f-1a4eb71dbce9,13,,"[28.1, 63.7]",3901734,0,,,,,-0.3851575,,Left Foot,,,"[31.8, 62.2]",,Ground Pass,,3.992493,,,,Guro Reiten,10514.0,,,,,Recovery,1,From Kick Off,Maren Nævdal Mjelde,10395.0,Right Center Back,2,Japan Women's,1210,"['21217e9e-97d6-401a-b5ea-ba2cd0ebcb91', 'b05f7501-4bb8-4a56-bbf7-bbf1de4876b6']",13,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:13.465,Pass,
