player_id,player_name,team,total_minutes_played,total_passes,total_completed_passes,total_progressive_passes,total_penalty_area_passes,total_long_passes,total_assists,total_key_passes,total_shots,total_shots_on_target,total_goals,total_xg,total_dribbles,total_successful_dribbles,total_duels,total_won_duels,total_tackles,total_successful_tackles,total_interceptions,total_ball_recoveries,total_clearances,total_blocks,total_fouls_committed,total_fouls_won,avg_pass_distance,avg_xg_per_shot,total_games
3034.0,Kamil Glik,Torino,3064,1657,1461,645,27,400,0,3,20,7,0,1.6585549544,6,4,99,9,46,9,35,97,199,62,55,50,24.903093723620348,0.03843544889292929,33
3103.0,Milan Biševac,Lazio,922,450,385,203,5,98,0,2,2,1,1,0.38850473999999996,3,3,26,1,15,1,19,39,55,18,11,6,22.773819708448364,0.038850473999999996,10
3112.0,Anton Ciprian Tătărușanu,Fiorentina,3319,1128,857,850,4,531,0,0,0,0,0,0.0,1,1,0,0,0,0,0,151,0,0,0,2,34.65134191913667,0.0,37
3125.0,Danilo Fernando Avelar,Torino,355,192,113,93,47,71,2,6,4,0,0,0.270619467,3,1,15,3,11,3,2,14,7,11,7,7,24.01702467901959,0.03137706333333334,6
3145.0,Keita Baldé Diao,Lazio,1842,670,501,69,142,77,1,38,63,26,4,5.2618482496,85,44,48,5,16,5,7,83,2,22,30,48,15.417932151680791,0.06577057997365592,31
3167.0,Antonio Rüdiger,AS Roma,2712,1569,1365,646,29,366,0,6,18,5,2,1.5747830846,10,6,91,9,46,9,21,144,118,63,44,16,23.279185348230975,0.030759353787777773,30
3287.0,Nathaniel Chalobah,Napoli,24,32,31,3,0,3,0,0,0,0,0,0.0,0,0,2,1,2,1,0,3,0,1,2,0,16.62278389652457,0.0,2
3371.0,Mario Barwuah Balotelli,AC Milan,880,351,221,101,97,79,1,23,43,11,1,3.5327798653999998,34,22,40,3,10,3,0,32,4,11,26,43,20.620206757092568,0.059014100046726164,16
3412.0,Assane Dioussé El Hadji,Empoli,844,716,603,255,22,97,0,3,5,1,0,0.0697752319,6,5,22,4,12,4,6,77,15,16,25,11,18.786280308270854,0.003636466993333333,15
3416.0,Gabriel Moisés Antunes da Silva,"Carpi, Genoa",2095,939,623,377,102,175,2,9,13,2,0,0.755911561,30,20,88,11,58,11,42,123,54,76,39,49,19.574967071448047,0.026344261115384612,26
3434.0,Stevan Jovetić,Inter Milan,1554,884,634,211,138,84,2,30,70,25,6,7.747629788899999,63,31,79,9,24,9,5,90,11,14,32,58,15.543326812872122,0.0852906290520833,24
3477.0,Álvaro Borja Morata Martín,Juventus,1490,512,383,58,57,43,6,20,48,21,7,6.927393751,57,23,53,3,15,3,8,62,9,25,40,58,14.791773863869562,0.10659207704953917,31
3486.0,Fernando Llorente Torres,Juventus,16,4,1,1,0,0,0,0,0,0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,16.94807708702989,0.0,1
3531.0,Mohamed Salah,AS Roma,2748,1196,960,155,185,61,6,53,73,29,14,8.5013707905,99,47,66,5,21,5,15,146,4,22,26,47,13.853830604986436,0.09414553409117644,34
3556.0,Serge Gakpé,"Genoa, Atalanta",859,211,147,62,32,22,1,9,22,10,3,2.4235265777999997,23,7,52,2,9,2,2,34,4,27,19,11,18.88221366383066,0.10500532590888888,15
3577.0,Molla Wagué,Udinese,1716,627,503,252,19,93,0,4,11,2,0,0.915064997,2,1,72,12,39,12,34,69,96,42,32,22,20.099101118673484,0.02454902583333333,21
3579.0,Roberto Maximiliano Pereyra,Juventus,812,442,390,91,41,50,1,26,10,2,0,0.6652788329999999,21,8,21,4,13,4,7,54,2,13,12,22,17.308507740574864,0.03322000225641026,13
3588.0,Wesley Hoedt,Lazio,2106,1075,897,535,19,353,0,0,12,1,0,0.6952238574,9,7,73,9,36,9,29,110,109,41,27,11,27.20178028733058,0.0216129468625,24
3660.0,Davide Zappacosta,Torino,1309,746,539,194,119,161,1,13,15,1,1,0.5841393035,42,11,30,5,18,5,12,71,17,33,26,10,20.39825267045231,0.018220807677083332,24
3742.0,Orestis Karnezis,Udinese,3413,1095,594,980,7,847,0,0,0,0,0,0.0,0,0,0,0,0,0,0,178,1,1,0,5,51.33146753631742,0.0,38
3949.0,Manolo Gabbiadini,Napoli,565,151,113,23,14,10,3,9,27,10,5,3.3397762175,6,2,12,0,0,0,0,14,1,5,7,12,14.300771896049026,0.05761854687745097,17
3951.0,Mario Lemina,Juventus,737,462,409,145,6,96,0,5,5,4,2,0.34210419329999997,10,9,28,7,23,7,9,46,13,18,20,9,20.969605386778916,0.03421041933,10
3964.0,Marcos Alonso Mendoza,Fiorentina,2419,1704,1373,403,133,256,4,37,56,11,3,2.9842651808,57,32,96,11,52,11,31,167,63,88,38,34,19.806876455190224,0.04625486565752687,31
4355.0,Emerson Palmieri dos Santos,AS Roma,191,101,81,30,6,12,0,1,4,2,1,1.011837311,5,1,9,0,7,0,3,12,5,2,3,1,18.328570683538192,0.13560382064285714,7
4369.0,Issa Cissokho,Genoa,666,418,340,138,33,46,1,7,1,0,0,0.032854717,6,4,26,2,11,2,14,40,18,17,8,8,18.693053306724483,0.002737893083333333,12
4407.0,Sanjin Prcić,Torino,22,15,11,7,1,6,0,1,0,0,0,0.0,1,1,3,0,1,0,3,2,0,1,2,0,24.9263909048114,0.0,1
4709.0,Pontus Jansson,Torino,629,351,325,133,1,56,0,2,6,2,1,0.319053936,1,1,18,0,5,0,9,21,25,14,4,2,21.871027439610952,0.029469627071428573,7
5204.0,Bruno Miguel Borges Fernandes,Udinese,2153,1135,785,419,192,273,4,37,53,16,3,3.3472867891,55,30,87,12,40,12,34,145,27,58,27,52,21.52869239628959,0.0374742812392473,31
5248.0,José Martín Cáceres Silva,Juventus,452,300,279,90,11,36,0,2,2,0,0,0.15261840100000001,1,1,8,0,3,0,5,14,13,7,6,3,18.864178471265056,0.025436400166666668,6
5255.0,Matías Vecino Falero,Fiorentina,2480,1958,1716,485,49,240,1,24,48,14,2,1.9187877258,38,27,121,18,72,18,32,133,40,80,58,34,18.176456550852777,0.030651765558333332,29
5457.0,Ivan Strinić,Napoli,252,220,195,62,5,11,0,1,3,1,0,0.046118484,4,2,7,2,5,2,5,19,4,4,3,2,15.264478192226148,0.011529621,4
5461.0,Šime Vrsaljko,Sassuolo,3135,2055,1525,762,204,349,3,35,9,1,0,0.539269016,38,24,116,10,76,10,49,194,139,80,61,56,19.289373871380974,0.013890301142857142,35
5465.0,Ante Rebić,"Hellas Verona, Fiorentina",769,292,199,65,53,32,0,4,17,2,1,1.246433034,40,23,24,8,14,8,10,56,2,19,27,13,16.756743130994867,0.06189653076785714,14
5469.0,Marcelo Brozović,Inter Milan,2474,1833,1443,650,211,401,4,48,55,10,3,3.3040099229999997,77,40,95,20,59,20,21,169,25,62,45,37,20.870969726022437,0.053192631525806444,31
5472.0,Mario Mandžukić,Juventus,2084,562,395,69,72,43,4,23,40,17,10,8.0095923645,19,11,98,9,34,9,11,43,21,32,56,35,15.162759717065809,0.16788491553888887,27
5474.0,Ivan Perišić,Inter Milan,2492,1251,899,279,170,142,6,21,71,21,7,7.8498860175,60,32,107,6,27,6,23,103,31,70,22,18,16.918444221936543,0.08762320345151514,33
5497.0,Gonzalo Gerardo Higuaín,Napoli,3034,943,721,169,114,135,2,47,182,80,36,25.025725227,65,39,55,5,15,5,8,84,15,36,35,38,17.232698153164936,0.13138293199127496,35
5510.0,Lucas Rodrigo Biglia,Lazio,2386,1991,1692,620,161,404,3,49,18,7,4,2.3830562989999997,21,19,122,19,84,19,44,229,43,54,51,58,21.22288811328799,0.06867200588888889,27
5512.0,Emil Hallfreðsson,"Udinese, Hellas Verona",1917,936,672,320,138,171,1,26,18,4,0,0.57117501,39,27,90,12,48,12,12,141,32,50,54,25,19.070892413840184,0.015252686663461539,26
5541.0,Stephan Lichtsteiner,Juventus,1850,1065,804,384,93,148,1,17,16,6,0,1.224545708,22,9,52,5,25,5,9,74,40,53,25,22,18.15667785385736,0.030625512549999998,25
5551.0,João Miranda de Souza Filho,Inter Milan,2788,1536,1268,705,31,447,3,2,10,3,1,1.0313557260000001,15,12,94,14,52,14,45,173,173,65,47,41,24.947416850799723,0.032229866437500004,32
5554.0,Blerim Džemaili,Genoa,1810,835,663,272,71,163,2,25,37,6,3,1.7617918192,28,16,80,13,55,13,23,105,29,50,36,55,21.385224267027844,0.03636296392839505,27
5558.0,Rafael Márquez Álvarez,Hellas Verona,768,430,338,220,29,133,0,3,5,0,0,0.378667207,2,1,23,2,10,2,7,36,37,14,4,11,26.238768466897113,0.03400937116666666,9
5566.0,Sami Khedira,Juventus,1549,816,688,162,58,94,3,8,22,10,5,3.7258493400000003,20,13,34,5,17,5,8,69,20,25,14,19,17.213702876423465,0.12744476404166666,20
5584.0,Giancarlo González Castro,Palermo,3191,995,767,523,16,341,0,3,4,2,2,0.500923102,2,2,75,5,32,5,44,92,237,71,26,10,26.804257530968837,0.014312088628571428,35
5587.0,Adem Ljajić,Inter Milan,1474,888,733,163,138,104,3,49,39,12,3,3.0500474132999997,54,28,23,1,10,1,5,74,9,30,7,22,16.447241133845527,0.06521300001626984,21
